赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
欧冠,173.0,0.463,0.227,0.31,0.497,0.185,0.318,1.8,0.406,25030
欧协联,60.0,0.477,0.243,0.28,0.433,0.283,0.283,0.651,0.722,25030
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25030
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25030
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25030
欧联,160.0,0.467,0.244,0.288,0.512,0.206,0.281,1.672,0.433,25030
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25030
法乙,105.0,0.413,0.281,0.305,0.457,0.248,0.295,0.946,0.623,25030
法国杯,9.0,0.493,0.229,0.278,0.667,0.222,0.111,1.451,0.484,25030
法甲,136.0,0.437,0.247,0.317,0.412,0.257,0.331,0.349,0.84,25030
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25030
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25030
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25030
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25030
英冠,126.0,0.424,0.264,0.312,0.437,0.238,0.325,0.444,0.801,25030
英甲,7.0,0.399,0.259,0.341,0.571,0.429,0.0,3.682,0.159,25030
英超,321.0,0.446,0.228,0.326,0.411,0.262,0.327,2.481,0.289,25030
荷乙,55.0,0.454,0.239,0.307,0.436,0.2,0.364,0.959,0.619,25030
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25030
荷甲,37.0,0.395,0.235,0.37,0.324,0.324,0.351,1.759,0.415,25030
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25030
葡超,72.0,0.437,0.239,0.324,0.389,0.264,0.347,0.687,0.709,25030
西甲,218.0,0.439,0.257,0.304,0.445,0.239,0.317,0.429,0.807,25030
解放者杯,18.0,0.5,0.26,0.24,0.444,0.333,0.222,0.512,0.774,25030
足总杯,15.0,0.492,0.211,0.297,0.6,0.133,0.267,0.831,0.66,25030
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25031
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25031
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25031
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25031
亚冠,30.0,0.506,0.226,0.268,0.667,0.233,0.1,4.697,0.096,25031
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25031
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25031
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25031
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25031
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25031
德乙,61.0,0.446,0.25,0.304,0.475,0.18,0.344,1.641,0.44,25031
德国杯,19.0,0.451,0.212,0.336,0.632,0.105,0.263,2.69,0.261,25031
德甲,247.0,0.447,0.228,0.325,0.413,0.247,0.34,1.184,0.553,25031
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25031
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25031
意甲,222.0,0.419,0.26,0.322,0.374,0.329,0.297,5.544,0.063,25031
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25031
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25031
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25031
欧冠,173.0,0.463,0.227,0.31,0.497,0.185,0.318,1.8,0.406,25031
欧协联,60.0,0.477,0.243,0.28,0.433,0.283,0.283,0.651,0.722,25031
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25031
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25031
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25031
欧联,160.0,0.467,0.244,0.288,0.512,0.206,0.281,1.672,0.433,25031
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25031
法乙,108.0,0.412,0.282,0.306,0.454,0.241,0.306,1.098,0.578,25031
法国杯,9.0,0.493,0.229,0.278,0.667,0.222,0.111,1.451,0.484,25031
法甲,137.0,0.439,0.246,0.315,0.416,0.255,0.328,0.288,0.866,25031
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25031
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25031
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25031
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25031
英冠,127.0,0.423,0.264,0.312,0.433,0.236,0.331,0.549,0.76,25031
英甲,7.0,0.399,0.259,0.341,0.571,0.429,0.0,3.682,0.159,25031
英超,317.0,0.446,0.228,0.327,0.413,0.259,0.328,2.087,0.352,25031
荷乙,57.0,0.455,0.239,0.306,0.456,0.193,0.351,0.877,0.645,25031
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25031
荷甲,38.0,0.396,0.236,0.368,0.316,0.316,0.368,1.65,0.438,25031
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25031
葡超,72.0,0.437,0.239,0.324,0.389,0.264,0.347,0.687,0.709,25031
西甲,215.0,0.438,0.258,0.305,0.442,0.247,0.312,0.144,0.931,25031
解放者杯,18.0,0.5,0.26,0.24,0.444,0.333,0.222,0.512,0.774,25031
足总杯,16.0,0.513,0.205,0.282,0.625,0.125,0.25,0.944,0.624,25031
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25032
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25032
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25032
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25032
亚冠,27.0,0.513,0.225,0.262,0.667,0.259,0.074,5.012,0.082,25032
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25032
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25032
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25032
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25032
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25032
德乙,61.0,0.446,0.25,0.304,0.475,0.18,0.344,1.641,0.44,25032
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25032
德甲,253.0,0.444,0.229,0.326,0.403,0.241,0.356,1.774,0.412,25032
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25032
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25032
意甲,223.0,0.418,0.26,0.322,0.377,0.332,0.291,5.992,0.05,25032
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25032
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25032
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25032
欧冠,171.0,0.461,0.227,0.312,0.491,0.187,0.322,1.592,0.451,25032
欧协联,60.0,0.477,0.243,0.28,0.433,0.283,0.283,0.651,0.722,25032
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25032
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25032
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25032
欧联,160.0,0.467,0.244,0.288,0.512,0.206,0.281,1.672,0.433,25032
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25032
法乙,107.0,0.412,0.281,0.307,0.458,0.243,0.299,1.122,0.571,25032
法国杯,9.0,0.493,0.229,0.278,0.667,0.222,0.111,1.451,0.484,25032
法甲,138.0,0.441,0.246,0.314,0.42,0.254,0.326,0.235,0.889,25032
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25032
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25032
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25032
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25032
英冠,126.0,0.424,0.264,0.311,0.437,0.238,0.325,0.451,0.798,25032
英甲,5.0,0.343,0.259,0.397,0.4,0.6,0.0,4.273,0.118,25032
英超,316.0,0.445,0.228,0.327,0.411,0.259,0.329,2.233,0.327,25032
荷乙,57.0,0.455,0.239,0.306,0.456,0.193,0.351,0.877,0.645,25032
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25032
荷甲,38.0,0.396,0.236,0.368,0.316,0.316,0.368,1.65,0.438,25032
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25032
葡超,71.0,0.436,0.238,0.326,0.394,0.254,0.352,0.508,0.776,25032
西甲,217.0,0.437,0.258,0.305,0.447,0.244,0.309,0.214,0.899,25032
解放者杯,18.0,0.5,0.26,0.24,0.444,0.333,0.222,0.512,0.774,25032
足总杯,18.0,0.536,0.199,0.265,0.611,0.167,0.222,0.403,0.817,25032
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25033
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25033
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25033
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25033
亚冠,26.0,0.51,0.226,0.264,0.654,0.269,0.077,4.722,0.094,25033
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25033
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25033
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25033
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25033
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25033
德乙,61.0,0.446,0.25,0.304,0.475,0.18,0.344,1.641,0.44,25033
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25033
德甲,255.0,0.445,0.23,0.326,0.4,0.243,0.357,2.096,0.351,25033
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25033
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25033
意甲,227.0,0.419,0.26,0.32,0.379,0.33,0.291,5.792,0.055,25033
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25033
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25033
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25033
欧冠,169.0,0.462,0.227,0.312,0.485,0.189,0.325,1.339,0.512,25033
欧协联,60.0,0.477,0.243,0.28,0.433,0.283,0.283,0.651,0.722,25033
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25033
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25033
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25033
欧联,152.0,0.464,0.246,0.291,0.5,0.217,0.283,0.97,0.616,25033
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25033
法乙,107.0,0.412,0.281,0.307,0.458,0.243,0.299,1.122,0.571,25033
法国杯,8.0,0.474,0.232,0.293,0.625,0.25,0.125,1.167,0.558,25033
法甲,141.0,0.44,0.246,0.314,0.418,0.248,0.333,0.329,0.848,25033
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25033
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25033
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25033
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25033
英冠,126.0,0.424,0.264,0.311,0.437,0.238,0.325,0.451,0.798,25033
英甲,5.0,0.343,0.259,0.397,0.4,0.6,0.0,4.273,0.118,25033
英超,316.0,0.445,0.228,0.327,0.411,0.259,0.329,2.233,0.327,25033
荷乙,57.0,0.455,0.239,0.306,0.456,0.193,0.351,0.877,0.645,25033
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25033
荷甲,38.0,0.396,0.236,0.368,0.316,0.316,0.368,1.65,0.438,25033
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25033
葡超,71.0,0.436,0.238,0.326,0.394,0.254,0.352,0.508,0.776,25033
西甲,220.0,0.438,0.258,0.304,0.445,0.25,0.305,0.079,0.961,25033
解放者杯,16.0,0.49,0.263,0.247,0.438,0.312,0.25,0.238,0.888,25033
足总杯,20.0,0.526,0.206,0.268,0.55,0.25,0.2,0.557,0.757,25033
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25034
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25034
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25034
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25034
亚冠,32.0,0.467,0.229,0.304,0.625,0.25,0.125,5.159,0.076,25034
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25034
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25034
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25034
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25034
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25034
德乙,59.0,0.448,0.25,0.302,0.492,0.186,0.322,1.288,0.525,25034
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25034
德甲,254.0,0.446,0.23,0.325,0.402,0.244,0.354,2.032,0.362,25034
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25034
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25034
意甲,226.0,0.42,0.26,0.32,0.381,0.332,0.288,6.039,0.049,25034
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25034
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25034
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25034
欧冠,177.0,0.458,0.228,0.314,0.475,0.186,0.339,1.786,0.409,25034
欧协联,60.0,0.477,0.243,0.28,0.433,0.283,0.283,0.651,0.722,25034
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25034
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25034
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25034
欧联,152.0,0.464,0.246,0.291,0.5,0.217,0.283,0.97,0.616,25034
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25034
法乙,107.0,0.412,0.281,0.307,0.458,0.243,0.299,1.122,0.571,25034
法国杯,8.0,0.474,0.232,0.293,0.625,0.25,0.125,1.167,0.558,25034
法甲,140.0,0.441,0.245,0.313,0.421,0.25,0.329,0.237,0.888,25034
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25034
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25034
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25034
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25034
英冠,126.0,0.424,0.264,0.311,0.437,0.238,0.325,0.451,0.798,25034
英甲,5.0,0.343,0.259,0.397,0.4,0.6,0.0,4.273,0.118,25034
英超,316.0,0.445,0.228,0.327,0.411,0.259,0.329,2.233,0.327,25034
荷乙,51.0,0.46,0.239,0.302,0.431,0.196,0.373,1.331,0.514,25034
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25034
荷甲,37.0,0.399,0.235,0.366,0.297,0.324,0.378,2.215,0.33,25034
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25034
葡超,70.0,0.434,0.238,0.328,0.386,0.257,0.357,0.674,0.714,25034
西甲,219.0,0.437,0.258,0.305,0.443,0.251,0.306,0.057,0.972,25034
解放者杯,16.0,0.49,0.263,0.247,0.438,0.312,0.25,0.238,0.888,25034
足总杯,20.0,0.526,0.206,0.268,0.55,0.25,0.2,0.557,0.757,25034
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25035
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25035
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25035
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25035
亚冠,32.0,0.467,0.229,0.304,0.625,0.25,0.125,5.159,0.076,25035
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25035
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25035
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25035
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25035
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25035
德乙,59.0,0.448,0.25,0.302,0.492,0.186,0.322,1.288,0.525,25035
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25035
德甲,248.0,0.448,0.23,0.322,0.403,0.246,0.351,2.034,0.362,25035
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25035
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25035
意甲,226.0,0.42,0.26,0.32,0.381,0.332,0.288,6.039,0.049,25035
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25035
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25035
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25035
欧冠,177.0,0.458,0.228,0.314,0.475,0.186,0.339,1.786,0.409,25035
欧协联,67.0,0.467,0.247,0.286,0.448,0.284,0.269,0.487,0.784,25035
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25035
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25035
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25035
欧联,159.0,0.46,0.247,0.293,0.497,0.214,0.289,1.184,0.553,25035
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25035
法乙,107.0,0.412,0.281,0.307,0.458,0.243,0.299,1.122,0.571,25035
法国杯,8.0,0.474,0.232,0.293,0.625,0.25,0.125,1.167,0.558,25035
法甲,139.0,0.441,0.245,0.314,0.424,0.252,0.324,0.151,0.927,25035
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25035
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25035
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25035
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25035
英冠,126.0,0.424,0.264,0.311,0.437,0.238,0.325,0.451,0.798,25035
英甲,5.0,0.343,0.259,0.397,0.4,0.6,0.0,4.273,0.118,25035
英超,313.0,0.447,0.227,0.326,0.409,0.259,0.332,2.392,0.302,25035
荷乙,51.0,0.46,0.239,0.302,0.431,0.196,0.373,1.331,0.514,25035
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25035
荷甲,37.0,0.399,0.235,0.366,0.297,0.324,0.378,2.215,0.33,25035
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25035
葡超,69.0,0.431,0.239,0.33,0.377,0.261,0.362,0.824,0.662,25035
西甲,217.0,0.44,0.258,0.302,0.442,0.253,0.304,0.025,0.988,25035
解放者杯,16.0,0.49,0.263,0.247,0.438,0.312,0.25,0.238,0.888,25035
足总杯,19.0,0.513,0.209,0.278,0.526,0.263,0.211,0.579,0.749,25035
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25036
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25036
世亚预,80.0,0.482,0.212,0.306,0.412,0.312,0.275,4.841,0.089,25036
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25036
亚冠,32.0,0.467,0.229,0.304,0.625,0.25,0.125,5.159,0.076,25036
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25036
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25036
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25036
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25036
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25036
德乙,61.0,0.446,0.251,0.303,0.492,0.197,0.311,1.004,0.605,25036
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25036
德甲,247.0,0.448,0.23,0.322,0.401,0.247,0.352,2.278,0.32,25036
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25036
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25036
意甲,224.0,0.419,0.261,0.32,0.379,0.335,0.286,6.346,0.042,25036
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25036
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25036
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25036
欧冠,177.0,0.458,0.228,0.314,0.475,0.186,0.339,1.786,0.409,25036
欧协联,67.0,0.467,0.247,0.286,0.448,0.284,0.269,0.487,0.784,25036
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25036
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25036
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25036
欧联,159.0,0.46,0.247,0.293,0.497,0.214,0.289,1.184,0.553,25036
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25036
法乙,111.0,0.414,0.281,0.305,0.459,0.234,0.306,1.408,0.495,25036
法国杯,8.0,0.474,0.232,0.293,0.625,0.25,0.125,1.167,0.558,25036
法甲,139.0,0.44,0.245,0.314,0.417,0.259,0.324,0.316,0.854,25036
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25036
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25036
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25036
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25036
英冠,127.0,0.426,0.264,0.31,0.433,0.244,0.323,0.273,0.872,25036
英甲,5.0,0.343,0.259,0.397,0.4,0.6,0.0,4.273,0.118,25036
英超,312.0,0.447,0.227,0.326,0.41,0.256,0.333,2.154,0.341,25036
荷乙,53.0,0.455,0.239,0.305,0.434,0.189,0.377,1.518,0.468,25036
荷兰杯,2.0,0.386,0.158,0.456,0.5,0.0,0.5,0.391,0.823,25036
荷甲,38.0,0.396,0.237,0.367,0.289,0.342,0.368,2.875,0.238,25036
葡萄牙杯,4.0,0.408,0.253,0.339,0.25,0.5,0.25,1.307,0.52,25036
葡超,69.0,0.43,0.239,0.331,0.362,0.275,0.362,1.304,0.521,25036
西甲,213.0,0.439,0.258,0.303,0.441,0.258,0.3,0.006,0.997,25036
解放者杯,16.0,0.49,0.263,0.247,0.438,0.312,0.25,0.238,0.888,25036
足总杯,18.0,0.529,0.209,0.262,0.556,0.222,0.222,0.149,0.928,25036
J2联赛,12.0,0.309,0.275,0.417,0.333,0.25,0.417,0.05,0.975,25037
J联赛,25.0,0.418,0.27,0.311,0.52,0.36,0.12,4.301,0.116,25037
世亚预,71.0,0.469,0.218,0.313,0.38,0.324,0.296,4.932,0.085,25037
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25037
亚冠,32.0,0.467,0.229,0.304,0.625,0.25,0.125,5.159,0.076,25037
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25037
国王杯,3.0,0.479,0.264,0.257,0.0,0.667,0.333,3.341,0.188,25037
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25037
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25037
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25037
德乙,61.0,0.446,0.251,0.303,0.492,0.197,0.311,1.004,0.605,25037
德国杯,18.0,0.465,0.21,0.325,0.611,0.111,0.278,1.79,0.409,25037
德甲,253.0,0.451,0.229,0.32,0.391,0.253,0.356,3.61,0.164,25037
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25037
意大利杯,20.0,0.586,0.233,0.18,0.75,0.1,0.15,2.541,0.281,25037
意甲,225.0,0.418,0.261,0.321,0.378,0.333,0.289,6.111,0.047,25037
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25037
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25037
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25037
欧冠,177.0,0.458,0.228,0.314,0.475,0.186,0.339,1.786,0.409,25037
欧协联,67.0,0.467,0.247,0.286,0.448,0.284,0.269,0.487,0.784,25037
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25037
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25037
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25037
欧联,159.0,0.46,0.247,0.293,0.497,0.214,0.289,1.184,0.553,25037
欧预赛,3.0,0.412,0.296,0.291,0.333,0.667,0.0,2.311,0.315,25037
