赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25002
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25002
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25002
法乙,87.0,0.412,0.282,0.306,0.483,0.241,0.276,1.824,0.402,25002
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25002
法甲,117.0,0.438,0.246,0.316,0.393,0.274,0.333,0.991,0.609,25002
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25002
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25002
美洲杯,31.0,0.462,0.248,0.29,0.387,0.323,0.29,1.071,0.585,25002
美职,65.0,0.506,0.238,0.256,0.569,0.2,0.231,1.063,0.588,25002
英冠,131.0,0.425,0.261,0.314,0.427,0.229,0.344,0.89,0.641,25002
英甲,10.0,0.379,0.268,0.354,0.6,0.4,0.0,5.481,0.065,25002
英超,306.0,0.452,0.227,0.322,0.422,0.271,0.307,3.519,0.172,25002
荷乙,61.0,0.452,0.24,0.308,0.377,0.295,0.328,1.624,0.444,25002
荷兰杯,4.0,0.451,0.172,0.378,0.5,0.25,0.25,0.337,0.845,25002
荷甲,38.0,0.385,0.233,0.382,0.395,0.263,0.342,0.32,0.852,25002
葡萄牙杯,5.0,0.415,0.257,0.327,0.4,0.4,0.2,0.646,0.724,25002
葡超,70.0,0.424,0.234,0.342,0.4,0.257,0.343,0.252,0.882,25002
西甲,226.0,0.443,0.259,0.298,0.447,0.243,0.31,0.312,0.855,25002
解放者杯,21.0,0.52,0.254,0.226,0.429,0.286,0.286,0.748,0.688,25002
足总杯,24.0,0.479,0.207,0.314,0.375,0.292,0.333,1.401,0.496,25002
非洲杯,21.0,0.318,0.272,0.41,0.429,0.286,0.286,1.614,0.446,25002
