期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25001,1260298,英超,01-02 01:30,布伦特,阿森纳,1,3,5.79,4.43,1.52,https://www.okooo.com/soccer/match/1260298/history/
25001,1264603,英冠,01-01 20:30,普利茅斯,布里斯托,2,2,4.58,3.81,1.69,https://www.okooo.com/soccer/match/1264603/history/
25001,1264605,英冠,01-01 20:30,女王巡游,沃特福德,3,1,2.52,3.18,2.75,https://www.okooo.com/soccer/match/1264605/history/
25001,1264602,英冠,01-01 21:00,米尔沃尔,牛津联,0,1,1.74,3.39,4.92,https://www.okooo.com/soccer/match/1264602/history/
25001,1264597,英冠,01-01 23:00,伯恩利,斯托克城,0,0,1.48,4.17,6.45,https://www.okooo.com/soccer/match/1264597/history/
25001,1264598,英冠,01-01 23:00,加的夫城,考文垂,1,1,3.22,3.23,2.21,https://www.okooo.com/soccer/match/1264598/history/
25001,1264601,英冠,01-01 23:00,利兹联,布莱克本,1,1,1.29,5.22,9.46,https://www.okooo.com/soccer/match/1264601/history/
25001,1264600,英冠,01-01 23:00,卢顿,诺维奇,0,1,2.59,3.28,2.62,https://www.okooo.com/soccer/match/1264600/history/
25001,1264604,英冠,01-01 23:00,朴次茅斯,斯旺西,4,0,3.16,3.33,2.19,https://www.okooo.com/soccer/match/1264604/history/
25001,1264606,英冠,01-01 23:00,谢周三,德比郡,4,2,2.03,3.14,3.83,https://www.okooo.com/soccer/match/1264606/history/
25001,1264608,英冠,01-01 23:00,西布朗,普雷斯顿,3,1,1.92,3.27,4.09,https://www.okooo.com/soccer/match/1264608/history/
25001,1264599,英冠,01-02 01:30,赫尔城,米堡,0,1,2.97,3.48,2.23,https://www.okooo.com/soccer/match/1264599/history/
25001,1264607,英冠,01-02 04:00,桑德兰,谢菲联,2,1,2.03,3.32,3.63,https://www.okooo.com/soccer/match/1264607/history/
25001,1281970,意超杯,01-03 03:00,国际米兰,亚特兰大,2,0,1.77,3.56,4.76,https://www.okooo.com/soccer/match/1281970/history/
