期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25186,1295887,英超,12-13 23:00,切尔西,埃弗顿,2,0,1.71,3.84,4.81,https://www.okooo.com/soccer/match/1295887/history/
25186,1295886,英超,12-14 01:30,伯恩利,富勒姆,2,3,3.90,3.42,1.98,https://www.okooo.com/soccer/match/1295886/history/
25186,1295884,英超,12-14 04:00,阿森纳,狼队,2,1,1.13,8.73,22.43,https://www.okooo.com/soccer/match/1295884/history/
25186,1299900,德甲,12-13 22:30,法兰克福,奥格斯堡,1,0,1.83,3.77,4.11,https://www.okooo.com/soccer/match/1299900/history/
25186,1299906,德甲,12-13 22:30,霍芬海姆,汉堡,4,1,1.69,4.14,4.44,https://www.okooo.com/soccer/match/1299906/history/
25186,1299903,德甲,12-13 22:30,门兴,沃尔夫斯堡,1,3,2.01,3.71,3.46,https://www.okooo.com/soccer/match/1299903/history/
25186,1299905,德甲,12-13 22:30,圣保利,海登海姆,2,1,1.86,3.42,4.37,https://www.okooo.com/soccer/match/1299905/history/
25186,1299899,德甲,12-14 01:30,勒沃库森,科隆,2,0,1.74,4.17,4.16,https://www.okooo.com/soccer/match/1299899/history/
25186,1292711,意甲,12-14 01:00,帕尔马,拉齐奥,0,1,3.81,3.18,2.08,https://www.okooo.com/soccer/match/1292711/history/
25186,1292705,意甲,12-14 03:45,亚特兰大,卡利亚里,2,1,1.34,5.07,8.96,https://www.okooo.com/soccer/match/1292705/history/
25186,1302707,西甲,12-13 23:15,马洛卡,埃尔切,3,1,2.52,2.98,3.10,https://www.okooo.com/soccer/match/1302707/history/
25186,1302703,西甲,12-14 01:30,巴萨,奥萨苏纳,2,0,1.18,7.59,12.76,https://www.okooo.com/soccer/match/1302703/history/
25186,1302708,西甲,12-14 04:00,赫塔费,西班牙人,0,1,2.61,2.77,3.20,https://www.okooo.com/soccer/match/1302708/history/
25186,1301376,法甲,12-14 04:05,巴黎FC,图卢兹,0,3,2.69,3.16,2.71,https://www.okooo.com/soccer/match/1301376/history/
