期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25146,1296184,英超,10-18 22:00,布莱顿,纽卡斯尔,2,1,2.82,3.44,2.44,https://www.okooo.com/soccer/match/1296184/history/
25146,1296185,英超,10-18 22:00,伯恩利,利兹联,2,0,3.46,3.20,2.20,https://www.okooo.com/soccer/match/1296185/history/
25146,1296186,英超,10-18 22:00,水晶宫,伯恩茅斯,3,3,2.15,3.35,3.43,https://www.okooo.com/soccer/match/1296186/history/
25146,1296189,英超,10-18 22:00,曼城,埃弗顿,2,0,1.42,4.60,7.53,https://www.okooo.com/soccer/match/1296189/history/
25146,1296187,英超,10-19 00:30,富勒姆,阿森纳,0,1,6.68,4.20,1.50,https://www.okooo.com/soccer/match/1296187/history/
25146,1299843,德甲,10-18 21:30,科隆,奥格斯堡,1,1,1.98,3.79,3.46,https://www.okooo.com/soccer/match/1299843/history/
25146,1299836,德甲,10-18 21:30,美因茨,勒沃库森,3,4,2.57,3.47,2.63,https://www.okooo.com/soccer/match/1299836/history/
25146,1299839,德甲,10-18 21:30,莱比锡,汉堡,2,1,1.44,5.00,6.01,https://www.okooo.com/soccer/match/1299839/history/
25146,1299838,德甲,10-18 21:30,沃尔夫斯堡,斯图加特,0,3,2.81,3.54,2.38,https://www.okooo.com/soccer/match/1299838/history/
25146,1299835,德甲,10-19 00:30,拜仁,多特蒙德,2,1,1.36,5.49,7.18,https://www.okooo.com/soccer/match/1299835/history/
25146,1292626,意甲,10-19 00:00,都灵,那不勒斯,1,0,5.03,3.29,1.80,https://www.okooo.com/soccer/match/1292626/history/
25146,1292627,意甲,10-19 02:45,罗马,国际米兰,0,1,3.47,3.23,2.18,https://www.okooo.com/soccer/match/1292627/history/
25146,1302633,西甲,10-18 22:15,巴萨,赫罗纳,2,1,1.20,7.18,12.05,https://www.okooo.com/soccer/match/1302633/history/
25146,1302638,西甲,10-19 00:30,比利亚雷,贝蒂斯,2,2,2.04,3.63,3.43,https://www.okooo.com/soccer/match/1302638/history/
