期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24082,1216848,英超,05-19 23:00,曼城,西汉姆,3,1,1.07,12.75,24.26,https://www.okooo.com/soccer/match/1216848/history/
24082,1216849,英超,05-19 23:00,谢菲联,热刺,0,3,7.33,5.87,1.33,https://www.okooo.com/soccer/match/1216849/history/
24082,1216842,英超,05-19 23:00,布莱顿,曼联,0,2,2.57,3.97,2.41,https://www.okooo.com/soccer/match/1216842/history/
24082,1216840,英超,05-19 23:00,阿森纳,埃弗顿,2,1,1.20,7.17,12.08,https://www.okooo.com/soccer/match/1216840/history/
24082,1216844,英超,05-19 23:00,切尔西,伯恩茅斯,2,1,1.38,5.45,6.59,https://www.okooo.com/soccer/match/1216844/history/
24082,1216841,英超,05-19 23:00,布伦特,纽卡斯尔,2,4,2.89,3.94,2.18,https://www.okooo.com/soccer/match/1216841/history/
24082,1228153,意甲,05-20 00:00,国际米兰,拉齐奥,1,1,1.55,4.36,5.46,https://www.okooo.com/soccer/match/1228153/history/
24082,1228156,意甲,05-20 02:45,罗马,热那亚,1,0,1.45,4.47,6.82,https://www.okooo.com/soccer/match/1228156/history/
24082,1219364,西甲,05-20 01:00,加的斯,拉斯马斯,0,0,1.87,3.37,4.40,https://www.okooo.com/soccer/match/1219364/history/
24082,1219363,西甲,05-20 01:00,贝蒂斯,皇家社会,0,2,3.28,2.94,2.42,https://www.okooo.com/soccer/match/1219363/history/
24082,1219367,西甲,05-20 01:00,格拉纳达,塞尔塔,1,2,3.71,3.41,2.01,https://www.okooo.com/soccer/match/1219367/history/
24082,1219368,西甲,05-20 01:00,巴伦西亚,赫罗纳,1,3,3.61,3.69,1.96,https://www.okooo.com/soccer/match/1219368/history/
24082,1225510,法甲,05-20 03:00,里昂,斯特拉斯,2,1,1.31,5.59,8.27,https://www.okooo.com/soccer/match/1225510/history/
24082,1225512,法甲,05-20 03:00,朗斯,蒙彼利埃,2,2,1.30,5.83,8.51,https://www.okooo.com/soccer/match/1225512/history/
