期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23019,1202323,欧冠,02-15 04:00,AC米兰,热刺,1,0,2.46,3.24,2.99,https://www.okooo.com/soccer/match/1202323/history/
23019,1202331,欧冠,02-15 04:00,巴黎圣曼,拜仁,0,1,2.72,3.59,2.49,https://www.okooo.com/soccer/match/1202331/history/
23019,1202327,欧冠,02-16 04:00,多特蒙德,切尔西,1,0,2.35,3.36,3.07,https://www.okooo.com/soccer/match/1202327/history/
23019,1202319,欧冠,02-16 04:00,布鲁日,本菲卡,0,2,4.43,3.54,1.85,https://www.okooo.com/soccer/match/1202319/history/
23019,1199950,英超,02-16 03:30,阿森纳,曼城,1,3,3.14,3.40,2.29,https://www.okooo.com/soccer/match/1199950/history/
23019,1175693,英冠,02-15 03:45,伯明翰,加的夫城,0,2,2.21,3.12,3.36,https://www.okooo.com/soccer/match/1175693/history/
23019,1175698,英冠,02-15 04:00,雷丁,罗瑟汉姆,2,1,1.92,3.29,4.11,https://www.okooo.com/soccer/match/1175698/history/
23019,1175694,英冠,02-15 04:00,伯恩利,沃特福德,1,1,1.67,3.59,5.18,https://www.okooo.com/soccer/match/1175694/history/
23019,1175702,英冠,02-16 03:45,斯旺西,布莱克浦,2,1,1.59,3.97,5.29,https://www.okooo.com/soccer/match/1175702/history/
23019,1175703,英冠,02-16 03:45,斯托克城,哈德斯,3,0,1.82,3.32,4.58,https://www.okooo.com/soccer/match/1175703/history/
23019,1175699,英冠,02-16 03:45,布里斯托,维冈竞技,1,1,2.02,3.14,3.92,https://www.okooo.com/soccer/match/1175699/history/
23019,1175701,英冠,02-16 04:00,谢菲联,米堡,1,3,2.01,3.49,3.51,https://www.okooo.com/soccer/match/1175701/history/
23019,1175704,英冠,02-16 04:00,西布朗,布莱克本,1,1,1.60,3.70,5.77,https://www.okooo.com/soccer/match/1175704/history/
23019,1176198,西甲,02-16 04:00,皇马,埃尔切,4,0,1.20,6.73,13.88,https://www.okooo.com/soccer/match/1176198/history/
