期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25063,1260445,英超,04-22 03:00,热刺,诺丁汉森林,1,2,2.39,3.46,2.90,https://www.okooo.com/soccer/match/1260445/history/
25063,1264835,英冠,04-21 22:00,加的夫城,牛津联,1,1,1.81,3.31,4.63,https://www.okooo.com/soccer/match/1264835/history/
25063,1264834,英冠,04-21 22:00,赫尔城,普雷斯顿,2,1,1.87,3.33,4.21,https://www.okooo.com/soccer/match/1264834/history/
25063,1264833,英冠,04-21 22:00,利兹联,斯托克城,6,0,1.25,5.61,10.78,https://www.okooo.com/soccer/match/1264833/history/
25063,1264827,英冠,04-21 22:00,桑德兰,布莱克本,0,1,2.09,3.31,3.53,https://www.okooo.com/soccer/match/1264827/history/
25063,1264826,英冠,04-21 22:00,西布朗,德比郡,1,3,1.94,3.23,4.11,https://www.okooo.com/soccer/match/1264826/history/
25063,1264825,英冠,04-21 22:00,普利茅斯,考文垂,3,1,4.25,3.77,1.76,https://www.okooo.com/soccer/match/1264825/history/
25063,1264836,英冠,04-22 00:30,伯恩利,谢菲联,2,1,1.90,3.34,4.09,https://www.okooo.com/soccer/match/1264836/history/
25063,1269249,意甲,04-21 21:00,卡利亚里,佛罗伦萨,,,3.09,3.10,2.43,https://www.okooo.com/soccer/match/1269249/history/
25063,1269252,意甲,04-22 00:00,热那亚,拉齐奥,,,3.34,3.13,2.28,https://www.okooo.com/soccer/match/1269252/history/
25063,1269255,意甲,04-24 00:30,帕尔马,尤文,1,0,4.90,3.74,1.71,https://www.okooo.com/soccer/match/1269255/history/
25063,1260052,西甲,04-22 03:00,赫罗纳,贝蒂斯,1,3,2.61,3.34,2.69,https://www.okooo.com/soccer/match/1260052/history/
25063,1281992,挪超,04-21 23:00,汉坎,维京,2,5,3.34,3.70,1.97,https://www.okooo.com/soccer/match/1281992/history/
25063,1281995,挪超,04-22 01:15,莫尔德,博德闪耀,2,2,3.17,3.58,2.07,https://www.okooo.com/soccer/match/1281995/history/
