期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24151,1264388,英冠,09-28 03:00,普利茅斯,卢顿,3,1,3.64,3.68,1.90,https://www.okooo.com/soccer/match/1264388/history/
24151,1269346,德甲,09-28 02:30,多特蒙德,波鸿,4,2,1.20,7.21,11.62,https://www.okooo.com/soccer/match/1269346/history/
24151,1271745,德乙,09-28 00:30,菲尔特,杜塞尔多夫,1,2,2.78,3.48,2.32,https://www.okooo.com/soccer/match/1271745/history/
24151,1271747,德乙,09-28 00:30,乌尔姆,不伦瑞克,3,1,2.54,3.28,2.65,https://www.okooo.com/soccer/match/1271747/history/
24151,1268982,意甲,09-28 02:45,AC米兰,莱切,3,0,1.29,5.74,9.37,https://www.okooo.com/soccer/match/1268982/history/
24151,1259812,西甲,09-28 03:00,巴拉多利德,马洛卡,1,2,3.19,2.86,2.54,https://www.okooo.com/soccer/match/1259812/history/
24151,1263063,法甲,09-28 01:00,欧塞尔,布雷斯特,3,0,2.92,3.31,2.41,https://www.okooo.com/soccer/match/1263063/history/
24151,1263062,法甲,09-28 03:00,巴黎圣曼,雷恩,3,1,1.40,4.92,7.14,https://www.okooo.com/soccer/match/1263062/history/
24151,1263377,法乙,09-28 02:00,亚眠,罗德兹,2,1,2.34,3.16,2.97,https://www.okooo.com/soccer/match/1263377/history/
24151,1263378,法乙,09-28 02:00,巴斯蒂亚,阿纳西,2,2,2.08,3.04,3.71,https://www.okooo.com/soccer/match/1263378/history/
24151,1263376,法乙,09-28 02:00,格勒诺布尔,克莱蒙,3,0,2.33,3.20,2.96,https://www.okooo.com/soccer/match/1263376/history/
24151,1263382,法乙,09-28 02:00,洛里昂,阿雅克肖,3,0,1.47,4.08,6.45,https://www.okooo.com/soccer/match/1263382/history/
24151,1261013,荷甲,09-28 02:00,赫拉克勒斯,海伦芬,2,1,2.82,3.50,2.31,https://www.okooo.com/soccer/match/1261013/history/
24151,1270108,葡超,09-28 03:15,埃斯托里,里斯本,0,3,15.64,7.80,1.14,https://www.okooo.com/soccer/match/1270108/history/
