期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23030,1171664,英超,03-05 22:00,诺丁汉森林,埃弗顿,2,2,2.98,2.99,2.61,https://www.okooo.com/soccer/match/1171664/history/
23030,1195945,英超,03-06 00:30,利物浦,曼联,7,0,2.41,3.55,2.81,https://www.okooo.com/soccer/match/1195945/history/
23030,1172699,德甲,03-05 22:30,勒沃库森,柏林赫塔,4,1,1.50,4.36,6.34,https://www.okooo.com/soccer/match/1172699/history/
23030,1172703,德甲,03-06 00:30,沃尔夫斯堡,法兰克福,2,2,2.42,3.45,2.84,https://www.okooo.com/soccer/match/1172703/history/
23030,1176617,意甲,03-05 22:00,桑普多利亚,萨勒尼塔纳,0,0,2.26,3.17,3.36,https://www.okooo.com/soccer/match/1176617/history/
23030,1176613,意甲,03-06 01:00,国际米兰,莱切,2,0,1.37,4.82,8.64,https://www.okooo.com/soccer/match/1176613/history/
23030,1176616,意甲,03-06 03:45,罗马,尤文,1,0,2.83,2.89,2.83,https://www.okooo.com/soccer/match/1176616/history/
23030,1176222,西甲,03-05 23:15,巴萨,巴伦西亚,1,0,1.34,5.02,9.30,https://www.okooo.com/soccer/match/1176222/history/
23030,1176226,西甲,03-06 01:30,巴列卡诺,毕尔巴鄂,0,0,2.80,3.00,2.74,https://www.okooo.com/soccer/match/1176226/history/
23030,1176223,西甲,03-06 04:00,贝蒂斯,皇马,0,0,4.65,3.91,1.72,https://www.okooo.com/soccer/match/1176223/history/
23030,1172378,法甲,03-05 22:00,图卢兹,克莱蒙,0,1,1.66,3.92,4.96,https://www.okooo.com/soccer/match/1172378/history/
23030,1172375,法甲,03-05 22:00,斯特拉斯,布雷斯特,0,1,2.00,3.25,3.99,https://www.okooo.com/soccer/match/1172375/history/
23030,1172372,法甲,03-06 00:05,里昂,洛里昂,0,0,1.56,4.26,5.52,https://www.okooo.com/soccer/match/1172372/history/
23030,1172376,法甲,03-06 03:45,雷恩,马赛,0,1,2.94,3.35,2.40,https://www.okooo.com/soccer/match/1172376/history/
