期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25188,1315464,英超,12-16 04:00,曼联,伯恩茅斯,4,4,1.76,4.13,4.10,https://www.okooo.com/soccer/match/1315464/history/
25188,1315159,英联杯,12-17 04:00,加的夫城,切尔西,1,3,6.50,4.94,1.42,https://www.okooo.com/soccer/match/1315159/history/
25188,1315162,英联杯,12-18 03:30,曼城,布伦特,2,0,1.59,4.24,5.13,https://www.okooo.com/soccer/match/1315162/history/
25188,1315161,英联杯,12-18 04:15,纽卡斯尔,富勒姆,2,1,1.72,3.99,4.36,https://www.okooo.com/soccer/match/1315161/history/
25188,1292712,意甲,12-16 03:45,罗马,科莫,1,0,2.20,3.09,3.58,https://www.okooo.com/soccer/match/1292712/history/
25188,1302706,西甲,12-16 04:00,巴列卡诺,贝蒂斯,0,0,2.55,3.19,2.86,https://www.okooo.com/soccer/match/1302706/history/
25188,1314910,法乙,12-16 03:45,布洛涅,特鲁瓦,1,2,3.64,3.30,1.99,https://www.okooo.com/soccer/match/1314910/history/
25188,1315336,荷兰杯,12-17 04:00,埃因霍温,费嫩达,3,0,1.02,16.19,31.74,https://www.okooo.com/soccer/match/1315336/history/
25188,1315337,荷兰杯,12-18 03:00,福图纳,阿尔梅勒,2,3,1.53,4.20,5.13,https://www.okooo.com/soccer/match/1315337/history/
25188,1315335,荷兰杯,12-18 03:00,罗达JC,前进之鹰,1,1,3.25,3.61,1.99,https://www.okooo.com/soccer/match/1315335/history/
25188,1315343,荷兰杯,12-18 03:00,奥斯,乌德勒支,0,2,7.17,5.06,1.34,https://www.okooo.com/soccer/match/1315343/history/
25188,1315334,荷兰杯,12-18 04:00,费耶诺德,海伦芬,2,3,1.51,4.43,5.03,https://www.okooo.com/soccer/match/1315334/history/
25188,1307882,葡超,12-16 02:45,布拉加,圣克拉拉,1,0,1.44,4.08,7.73,https://www.okooo.com/soccer/match/1307882/history/
25188,1307885,葡超,12-16 04:45,波尔图,阿马多拉,3,1,1.16,7.18,15.72,https://www.okooo.com/soccer/match/1307885/history/
