期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24170,1260207,英超,11-02 23:00,伯恩茅斯,曼城,2,1,5.63,4.43,1.53,https://www.okooo.com/soccer/match/1260207/history/
24170,1260210,英超,11-02 23:00,利物浦,布莱顿,2,1,1.36,5.42,7.15,https://www.okooo.com/soccer/match/1260210/history/
24170,1260213,英超,11-02 23:00,诺丁汉森林,西汉姆,3,0,2.02,3.45,3.66,https://www.okooo.com/soccer/match/1260213/history/
24170,1260214,英超,11-02 23:00,南安普敦,埃弗顿,1,0,2.63,3.30,2.66,https://www.okooo.com/soccer/match/1260214/history/
24170,1260209,英超,11-02 23:00,伊普斯,莱切城,1,1,2.30,3.54,2.93,https://www.okooo.com/soccer/match/1260209/history/
24170,1260216,英超,11-03 01:30,狼队,水晶宫,2,2,2.40,3.32,2.93,https://www.okooo.com/soccer/match/1260216/history/
24170,1269381,德甲,11-02 22:30,拜仁,柏林联合,3,0,1.15,8.08,16.30,https://www.okooo.com/soccer/match/1269381/history/
24170,1269383,德甲,11-02 22:30,法兰克福,波鸿,7,2,1.44,4.97,6.19,https://www.okooo.com/soccer/match/1269383/history/
24170,1269386,德甲,11-02 22:30,沃尔夫斯堡,奥格斯堡,1,1,2.04,3.59,3.45,https://www.okooo.com/soccer/match/1269386/history/
24170,1269382,德甲,11-03 01:30,多特蒙德,莱比锡,2,1,2.14,3.78,3.05,https://www.okooo.com/soccer/match/1269382/history/
24170,1269037,意甲,11-03 01:00,乌迪内斯,尤文,0,2,4.20,3.17,1.98,https://www.okooo.com/soccer/match/1269037/history/
24170,1269033,意甲,11-03 03:45,蒙扎,AC米兰,0,1,5.75,3.81,1.61,https://www.okooo.com/soccer/match/1269033/history/
24170,1263105,法甲,11-03 00:00,巴黎圣曼,朗斯,1,0,1.40,5.02,6.94,https://www.okooo.com/soccer/match/1263105/history/
