期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23035,1202330,欧冠,03-15 04:00,波尔图,国际米兰,0,0,2.87,3.31,2.49,https://www.okooo.com/soccer/match/1202330/history/
23035,1202318,欧冠,03-15 04:00,曼城,莱比锡,7,0,1.35,5.12,8.53,https://www.okooo.com/soccer/match/1202318/history/
23035,1202326,欧冠,03-16 04:00,那不勒斯,法兰克福,3,0,1.41,4.78,7.70,https://www.okooo.com/soccer/match/1202326/history/
23035,1202322,欧冠,03-16 04:00,皇马,利物浦,1,0,2.30,3.88,2.79,https://www.okooo.com/soccer/match/1202322/history/
23035,1209073,英超,03-16 03:30,布莱顿,水晶宫,1,0,1.44,4.69,8.00,https://www.okooo.com/soccer/match/1209073/history/
23035,1209074,英超,03-16 03:30,南安普敦,布伦特,0,2,3.02,3.25,2.47,https://www.okooo.com/soccer/match/1209074/history/
23035,1175757,英冠,03-15 03:45,沃特福德,伯明翰,3,0,1.90,3.24,4.23,https://www.okooo.com/soccer/match/1175757/history/
23035,1175755,英冠,03-15 03:45,米尔沃尔,斯旺西,2,1,1.85,3.38,4.29,https://www.okooo.com/soccer/match/1175755/history/
23035,1175754,英冠,03-15 04:00,米堡,斯托克城,1,1,1.67,3.77,4.87,https://www.okooo.com/soccer/match/1175754/history/
23035,1175763,英冠,03-16 03:45,卢顿,布里斯托,1,0,1.81,3.35,4.53,https://www.okooo.com/soccer/match/1175763/history/
23035,1175762,英冠,03-16 03:45,赫尔城,伯恩利,1,3,5.70,3.66,1.62,https://www.okooo.com/soccer/match/1175762/history/
23035,1175761,英冠,03-16 03:45,哈德斯,诺维奇,1,1,4.46,3.46,1.79,https://www.okooo.com/soccer/match/1175761/history/
23035,1175759,英冠,03-16 03:45,布莱克本,雷丁,2,1,1.71,3.44,5.20,https://www.okooo.com/soccer/match/1175759/history/
23035,1175764,英冠,03-16 04:00,桑德兰,谢菲联,1,2,3.12,3.15,2.32,https://www.okooo.com/soccer/match/1175764/history/
