期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
26023,1295964,英超,02-01 22:00,维拉,布伦特,,,1.96,3.61,3.67,https://www.okooo.com/soccer/match/1295964/history/
26023,1295969,英超,02-01 22:00,曼联,富勒姆,,,1.58,4.31,5.21,https://www.okooo.com/soccer/match/1295969/history/
26023,1295970,英超,02-01 22:00,诺丁汉森林,水晶宫,,,1.97,3.46,3.81,https://www.okooo.com/soccer/match/1295970/history/
26023,1295972,英超,02-02 00:30,热刺,曼城,,,4.66,4.19,1.65,https://www.okooo.com/soccer/match/1295972/history/
26023,1299954,德甲,02-01 22:30,斯图加特,弗赖堡,,,1.71,3.98,4.42,https://www.okooo.com/soccer/match/1299954/history/
26023,1299960,德甲,02-02 00:30,多特蒙德,海登海姆,,,1.23,6.34,11.22,https://www.okooo.com/soccer/match/1299960/history/
26023,1292787,意甲,02-01 22:00,科莫,亚特兰大,,,2.31,3.33,3.04,https://www.okooo.com/soccer/match/1292787/history/
26023,1292788,意甲,02-02 01:00,克雷莫纳,国际米兰,,,9.58,5.34,1.30,https://www.okooo.com/soccer/match/1292788/history/
26023,1292791,意甲,02-02 03:45,帕尔马,尤文,,,6.98,4.25,1.46,https://www.okooo.com/soccer/match/1292791/history/
26023,1302762,西甲,02-01 23:15,贝蒂斯,巴伦西亚,,,1.81,3.55,4.42,https://www.okooo.com/soccer/match/1302762/history/
26023,1302768,西甲,02-02 01:30,赫塔费,塞尔塔,,,2.91,2.88,2.70,https://www.okooo.com/soccer/match/1302768/history/
26023,1302761,西甲,02-02 04:00,毕尔巴鄂,皇家社会,,,2.19,3.16,3.46,https://www.okooo.com/soccer/match/1302761/history/
26023,1301412,法甲,02-01 22:00,里昂,里尔,,,1.85,3.71,3.92,https://www.okooo.com/soccer/match/1301412/history/
26023,1301413,法甲,02-02 03:45,斯特拉斯,巴黎圣曼,,,5.07,4.27,1.57,https://www.okooo.com/soccer/match/1301413/history/
