期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25084,1286422,J联赛,06-01 15:00,浦和红钻,横滨FC,2,1,2.08,3.02,3.69,https://www.okooo.com/soccer/match/1286422/history/
25084,1292077,葡超,06-02 02:45,维兹拉,阿维SAD,2,2,1.80,3.58,4.18,https://www.okooo.com/soccer/match/1292077/history/
25084,1280988,瑞典超,06-01 20:00,布鲁马波卡纳,哥德堡,1,3,2.55,3.44,2.53,https://www.okooo.com/soccer/match/1280988/history/
25084,1280994,瑞典超,06-01 20:00,哈尔姆斯塔德,佐加顿斯,1,0,3.92,3.32,1.92,https://www.okooo.com/soccer/match/1280994/history/
25084,1280990,瑞典超,06-01 20:00,马尔默,赫根,3,0,1.66,3.93,4.56,https://www.okooo.com/soccer/match/1280990/history/
25084,1280991,瑞典超,06-01 22:30,米亚尔比,韦纳穆,2,0,1.39,4.68,6.90,https://www.okooo.com/soccer/match/1280991/history/
25084,1280993,瑞典超,06-01 22:30,天狼星,索尔纳,3,1,3.38,3.25,2.12,https://www.okooo.com/soccer/match/1280993/history/
25084,1282038,挪超,06-01 20:30,腓特烈斯塔,萨普斯,1,1,2.14,3.35,3.23,https://www.okooo.com/soccer/match/1282038/history/
25084,1282039,挪超,06-01 23:00,布兰,克里斯蒂安松,4,2,1.34,5.27,7.25,https://www.okooo.com/soccer/match/1282039/history/
25084,1282040,挪超,06-01 23:00,布莱尼,桑纳菲尤尔,3,2,2.47,3.41,2.65,https://www.okooo.com/soccer/match/1282040/history/
25084,1282041,挪超,06-01 23:00,海于格松,博德闪耀,0,4,11.45,6.67,1.19,https://www.okooo.com/soccer/match/1282041/history/
25084,1282042,挪超,06-01 23:00,罗森博格,KFUM奥斯陆,1,1,1.56,3.96,5.53,https://www.okooo.com/soccer/match/1282042/history/
25084,1282043,挪超,06-02 01:15,莫尔德,维京,0,1,2.57,3.75,2.38,https://www.okooo.com/soccer/match/1282043/history/
25084,1282985,美职,06-02 06:00,西雅图海湾人,明尼苏达联,2,3,1.89,3.42,3.93,https://www.okooo.com/soccer/match/1282985/history/
