期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24200,1260268,英超,12-14 23:00,阿森纳,埃弗顿,0,0,1.22,6.28,12.60,https://www.okooo.com/soccer/match/1260268/history/
24200,1260271,英超,12-14 23:00,利物浦,富勒姆,2,2,1.28,6.05,9.33,https://www.okooo.com/soccer/match/1260271/history/
24200,1260273,英超,12-14 23:00,纽卡斯尔,莱切城,4,0,1.28,6.10,9.26,https://www.okooo.com/soccer/match/1260273/history/
24200,1260276,英超,12-14 23:00,狼队,伊普斯,1,2,1.95,3.63,3.73,https://www.okooo.com/soccer/match/1260276/history/
24200,1260274,英超,12-15 01:30,诺丁汉森林,维拉,2,1,2.66,3.18,2.73,https://www.okooo.com/soccer/match/1260274/history/
24200,1269429,德甲,12-14 22:30,奥格斯堡,勒沃库森,0,2,5.99,3.98,1.57,https://www.okooo.com/soccer/match/1269429/history/
24200,1269430,德甲,12-14 22:30,美因茨,拜仁,2,1,5.91,4.40,1.51,https://www.okooo.com/soccer/match/1269430/history/
24200,1269433,德甲,12-15 01:30,圣保利,不来梅,0,2,2.82,3.25,2.53,https://www.okooo.com/soccer/match/1269433/history/
24200,1269087,意甲,12-15 01:00,乌迪内斯,那不勒斯,1,3,5.29,3.50,1.71,https://www.okooo.com/soccer/match/1269087/history/
24200,1269082,意甲,12-15 03:45,尤文,威尼斯,2,2,1.36,4.71,9.05,https://www.okooo.com/soccer/match/1269082/history/
24200,1259903,西甲,12-15 01:30,塞维利亚,塞尔塔,1,0,2.57,3.10,2.89,https://www.okooo.com/soccer/match/1259903/history/
24200,1259899,西甲,12-15 04:00,巴列卡诺,皇马,3,3,6.25,4.19,1.52,https://www.okooo.com/soccer/match/1259899/history/
24200,1263149,法甲,12-15 00:00,马赛,里尔,1,1,2.08,3.42,3.52,https://www.okooo.com/soccer/match/1263149/history/
24200,1263144,法甲,12-15 04:00,兰斯,摩纳哥,0,0,3.28,3.42,2.17,https://www.okooo.com/soccer/match/1263144/history/
