期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25129,1299185,英冠,09-13 03:00,伊普斯,谢菲联,5,0,1.74,3.72,4.46,https://www.okooo.com/soccer/match/1299185/history/
25129,1299800,德甲,09-13 02:30,勒沃库森,法兰克福,3,1,2.15,3.69,3.13,https://www.okooo.com/soccer/match/1299800/history/
25129,1307494,德乙,09-13 00:30,比勒菲尔德,马格德堡,2,0,2.06,3.69,3.15,https://www.okooo.com/soccer/match/1307494/history/
25129,1307487,德乙,09-13 00:30,帕德博恩,波鸿,1,0,1.82,3.74,3.89,https://www.okooo.com/soccer/match/1307487/history/
25129,1302588,西甲,09-13 03:00,塞维利亚,埃尔切,2,2,1.90,3.34,4.38,https://www.okooo.com/soccer/match/1302588/history/
25129,1301267,法甲,09-13 02:45,马赛,洛里昂,4,0,1.35,5.22,8.07,https://www.okooo.com/soccer/match/1301267/history/
25129,1301719,法乙,09-13 02:00,亚眠,巴斯蒂亚,0,0,3.65,3.27,1.99,https://www.okooo.com/soccer/match/1301719/history/
25129,1311176,法乙,09-13 02:00,布洛涅,拉瓦勒,1,2,3.12,3.16,2.25,https://www.okooo.com/soccer/match/1311176/history/
25129,1301716,法乙,09-13 02:00,勒芒,罗德兹,0,1,2.09,3.38,3.26,https://www.okooo.com/soccer/match/1301716/history/
25129,1301718,法乙,09-13 02:00,波城,圣旺红星,0,3,2.69,3.18,2.54,https://www.okooo.com/soccer/match/1301718/history/
25129,1301713,法乙,09-13 02:00,特鲁瓦,南锡,3,0,2.22,3.12,3.22,https://www.okooo.com/soccer/match/1301713/history/
25129,1307800,葡超,09-13 03:15,艾华卡,通德拉,1,0,2.15,3.19,3.45,https://www.okooo.com/soccer/match/1307800/history/
25129,1307805,葡超,09-13 03:15,本菲卡,圣克拉拉,1,1,1.28,5.07,11.16,https://www.okooo.com/soccer/match/1307805/history/
25129,1282132,挪超,09-13 01:00,博德闪耀,克里斯蒂安松,7,1,1.13,8.58,14.53,https://www.okooo.com/soccer/match/1282132/history/
