期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
26022,1295967,英超,01-31 23:00,利兹联,阿森纳,,,6.10,4.17,1.53,https://www.okooo.com/soccer/match/1295967/history/
26022,1295973,英超,01-31 23:00,狼队,伯恩茅斯,,,3.04,3.55,2.22,https://www.okooo.com/soccer/match/1295973/history/
26022,1295966,英超,02-01 01:30,切尔西,西汉姆,,,1.50,4.53,5.90,https://www.okooo.com/soccer/match/1295966/history/
26022,1295968,英超,02-01 04:00,利物浦,纽卡斯尔,,,1.78,3.98,4.04,https://www.okooo.com/soccer/match/1295968/history/
26022,1299959,德甲,01-31 22:30,法兰克福,勒沃库森,,,2.78,3.66,2.33,https://www.okooo.com/soccer/match/1299959/history/
26022,1299956,德甲,01-31 22:30,霍芬海姆,柏林联合,,,1.84,3.66,4.12,https://www.okooo.com/soccer/match/1299956/history/
26022,1299952,德甲,01-31 22:30,莱比锡,美因茨,,,1.53,4.50,5.36,https://www.okooo.com/soccer/match/1299952/history/
26022,1299953,德甲,01-31 22:30,不来梅,门兴,,,2.31,3.53,2.88,https://www.okooo.com/soccer/match/1299953/history/
26022,1299958,德甲,02-01 01:30,汉堡,拜仁,,,8.31,6.05,1.29,https://www.okooo.com/soccer/match/1299958/history/
26022,1292790,意甲,02-01 01:00,那不勒斯,佛罗伦萨,,,1.70,3.59,5.18,https://www.okooo.com/soccer/match/1292790/history/
26022,1292786,意甲,02-01 03:45,卡利亚里,维罗纳,,,2.26,2.96,3.57,https://www.okooo.com/soccer/match/1292786/history/
26022,1302764,西甲,01-31 23:15,奥萨苏纳,比利亚雷,,,2.83,3.37,2.43,https://www.okooo.com/soccer/match/1302764/history/
26022,1302766,西甲,02-01 01:30,莱万特,马竞,,,5.45,4.16,1.57,https://www.okooo.com/soccer/match/1302766/history/
26022,1302767,西甲,02-01 04:00,埃尔切,巴萨,,,6.99,5.48,1.36,https://www.okooo.com/soccer/match/1302767/history/
