期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23050,1175815,英冠,04-15 03:00,米堡,诺维奇,5,1,1.92,3.63,3.68,https://www.okooo.com/soccer/match/1175815/history/
23050,1172750,德甲,04-15 02:30,沙尔克,柏林赫塔,5,2,2.28,3.28,3.19,https://www.okooo.com/soccer/match/1172750/history/
23050,1174754,德乙,04-15 00:30,汉诺威,海登海姆,0,3,3.17,3.36,2.17,https://www.okooo.com/soccer/match/1174754/history/
23050,1174749,德乙,04-15 00:30,菲尔特,雷根斯堡,2,1,1.84,3.39,4.25,https://www.okooo.com/soccer/match/1174749/history/
23050,1176662,意甲,04-15 00:30,克雷莫纳,恩波利,1,0,2.28,3.32,3.19,https://www.okooo.com/soccer/match/1176662/history/
23050,1176669,意甲,04-15 02:45,斯佩齐亚,拉齐奥,0,3,4.69,3.51,1.80,https://www.okooo.com/soccer/match/1176669/history/
23050,1176278,西甲,04-15 03:00,巴列卡诺,奥萨苏纳,2,1,2.06,3.16,3.97,https://www.okooo.com/soccer/match/1176278/history/
23050,1172429,法甲,04-15 03:00,图卢兹,里昂,1,2,3.28,3.75,2.07,https://www.okooo.com/soccer/match/1172429/history/
23050,1170763,荷甲,04-15 02:00,SBV精英,前进之鹰,2,1,2.92,3.44,2.29,https://www.okooo.com/soccer/match/1170763/history/
23050,1171172,荷乙,04-15 02:00,奥斯,格拉夫夏普,3,3,5.88,4.49,1.46,https://www.okooo.com/soccer/match/1171172/history/
23050,1171171,荷乙,04-15 02:00,兹沃勒,特尔斯达,2,0,1.19,6.30,11.55,https://www.okooo.com/soccer/match/1171171/history/
23050,1171168,荷乙,04-15 02:00,赫拉克勒斯,罗达JC,1,0,1.43,4.54,5.97,https://www.okooo.com/soccer/match/1171168/history/
23050,1171173,荷乙,04-15 02:00,芬洛,埃因FC,2,2,2.21,3.35,2.99,https://www.okooo.com/soccer/match/1171173/history/
