期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23162,1216621,英超,12-09 23:00,布莱顿,伯恩利,1,1,1.50,4.42,6.07,https://www.okooo.com/soccer/match/1216621/history/
23162,1216629,英超,12-09 23:00,狼队,诺丁汉森林,1,1,1.89,3.31,4.43,https://www.okooo.com/soccer/match/1216629/history/
23162,1216626,英超,12-09 23:00,曼联,伯恩茅斯,0,3,1.63,4.33,4.70,https://www.okooo.com/soccer/match/1216626/history/
23162,1216627,英超,12-09 23:00,谢菲联,布伦特,1,0,4.54,3.78,1.75,https://www.okooo.com/soccer/match/1216627/history/
23162,1216620,英超,12-10 01:30,维拉,阿森纳,1,0,3.53,3.65,2.00,https://www.okooo.com/soccer/match/1216620/history/
23162,1226062,德甲,12-09 22:30,沃尔夫斯堡,弗赖堡,0,1,2.17,3.51,3.18,https://www.okooo.com/soccer/match/1226062/history/
23162,1226065,德甲,12-09 22:30,不来梅,奥格斯堡,2,0,2.21,3.66,3.00,https://www.okooo.com/soccer/match/1226065/history/
23162,1226067,德甲,12-09 22:30,海登海姆,达姆施塔特,3,2,1.82,3.76,4.10,https://www.okooo.com/soccer/match/1226067/history/
23162,1226061,德甲,12-09 22:30,法兰克福,拜仁,5,1,8.53,5.77,1.30,https://www.okooo.com/soccer/match/1226061/history/
23162,1226060,德甲,12-09 22:30,柏林联合,门兴,3,1,2.06,3.49,3.46,https://www.okooo.com/soccer/match/1226060/history/
23162,1226059,德甲,12-10 01:30,多特蒙德,莱比锡,2,3,2.61,3.80,2.42,https://www.okooo.com/soccer/match/1226059/history/
23162,1227932,意甲,12-10 01:00,亚特兰大,AC米兰,3,2,2.49,3.21,2.89,https://www.okooo.com/soccer/match/1227932/history/
23162,1227937,意甲,12-10 03:45,国际米兰,乌迪内斯,4,0,1.22,6.29,12.71,https://www.okooo.com/soccer/match/1227937/history/
23162,1219154,西甲,12-09 23:15,贝蒂斯,皇马,1,1,4.59,3.98,1.69,https://www.okooo.com/soccer/match/1219154/history/
