期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25156,1299289,英冠,11-01 04:00,雷克斯汉姆,考文垂,3,2,3.17,3.53,2.13,https://www.okooo.com/soccer/match/1299289/history/
25156,1299857,德甲,11-01 03:30,奥格斯堡,多特蒙德,0,1,5.30,4.35,1.57,https://www.okooo.com/soccer/match/1299857/history/
25156,1307541,德乙,11-01 01:30,艾禾斯堡,汉诺威,2,2,2.29,3.66,2.71,https://www.okooo.com/soccer/match/1307541/history/
25156,1307548,德乙,11-01 01:30,明斯特,基尔,2,1,3.21,3.44,2.10,https://www.okooo.com/soccer/match/1307548/history/
25156,1302655,西甲,11-01 04:00,赫塔费,赫罗纳,2,1,2.12,3.00,3.94,https://www.okooo.com/soccer/match/1302655/history/
25156,1311185,法乙,11-01 03:00,阿纳西,布洛涅,1,1,1.97,3.09,3.94,https://www.okooo.com/soccer/match/1311185/history/
25156,1301791,法乙,11-01 03:00,巴斯蒂亚,克莱蒙,1,0,1.92,3.22,3.97,https://www.okooo.com/soccer/match/1301791/history/
25156,1301789,法乙,11-01 03:00,甘冈,拉瓦勒,2,0,1.76,3.32,4.68,https://www.okooo.com/soccer/match/1301789/history/
25156,1301787,法乙,11-01 03:00,勒芒,南锡,1,0,2.00,3.18,3.68,https://www.okooo.com/soccer/match/1301787/history/
25156,1301792,法乙,11-01 03:00,蒙彼利埃,罗德兹,2,0,1.77,3.66,4.06,https://www.okooo.com/soccer/match/1301792/history/
25156,1296569,荷甲,11-01 03:00,埃因霍温,福图纳,5,2,1.12,9.07,15.62,https://www.okooo.com/soccer/match/1296569/history/
25156,1297651,荷乙,11-01 03:00,登博思,格拉夫夏普,1,2,2.64,3.93,2.19,https://www.okooo.com/soccer/match/1297651/history/
25156,1297655,荷乙,11-01 03:00,奥斯,海尔蒙特,0,3,2.62,3.49,2.38,https://www.okooo.com/soccer/match/1297655/history/
25156,1307848,葡超,11-01 04:15,里斯本,艾华卡,2,0,1.10,9.29,21.04,https://www.okooo.com/soccer/match/1307848/history/
