期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25061,1260438,英超,04-19 22:00,布伦特,布莱顿,4,2,2.59,3.57,2.57,https://www.okooo.com/soccer/match/1260438/history/
25061,1260439,英超,04-19 22:00,水晶宫,伯恩茅斯,0,0,2.55,3.45,2.68,https://www.okooo.com/soccer/match/1260439/history/
25061,1260440,英超,04-19 22:00,埃弗顿,曼城,0,2,4.00,3.61,1.90,https://www.okooo.com/soccer/match/1260440/history/
25061,1260446,英超,04-19 22:00,西汉姆,南安普敦,1,1,1.59,4.26,5.28,https://www.okooo.com/soccer/match/1260446/history/
25061,1260437,英超,04-20 00:30,维拉,纽卡斯尔,4,1,2.50,3.54,2.70,https://www.okooo.com/soccer/match/1260437/history/
25061,1269573,德甲,04-19 21:30,弗赖堡,霍芬海姆,3,2,1.90,3.74,3.81,https://www.okooo.com/soccer/match/1269573/history/
25061,1269571,德甲,04-19 21:30,海登海姆,拜仁,0,4,9.05,6.38,1.27,https://www.okooo.com/soccer/match/1269571/history/
25061,1269575,德甲,04-19 21:30,美因茨,沃尔夫斯堡,2,2,2.00,3.64,3.53,https://www.okooo.com/soccer/match/1269575/history/
25061,1269572,德甲,04-19 21:30,不来梅,波鸿,1,0,1.59,4.38,5.06,https://www.okooo.com/soccer/match/1269572/history/
25061,1269576,德甲,04-20 00:30,柏林联合,斯图加特,4,4,3.02,3.42,2.31,https://www.okooo.com/soccer/match/1269576/history/
25061,1269254,意甲,04-20 00:00,蒙扎,那不勒斯,0,1,10.12,5.19,1.31,https://www.okooo.com/soccer/match/1269254/history/
25061,1260047,西甲,04-19 22:15,巴萨,塞尔塔,4,3,1.24,6.79,9.79,https://www.okooo.com/soccer/match/1260047/history/
25061,1260056,西甲,04-20 00:30,马洛卡,莱加内斯,0,0,1.82,3.08,5.45,https://www.okooo.com/soccer/match/1260056/history/
25061,1260051,西甲,04-20 03:00,拉斯马斯,马竞,1,0,5.49,3.94,1.61,https://www.okooo.com/soccer/match/1260051/history/
