期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25116,1286495,J联赛,08-20 18:00,广岛三箭,神户胜利,0,1,2.40,3.03,3.01,https://www.okooo.com/soccer/match/1286495/history/
25116,1311465,欧冠,08-20 03:00,贝尔格莱德红星,AEP帕福斯,1,2,1.49,4.42,5.91,https://www.okooo.com/soccer/match/1311465/history/
25116,1311463,欧冠,08-20 03:00,费伦茨,卡拉巴,1,3,2.06,3.33,3.57,https://www.okooo.com/soccer/match/1311463/history/
25116,1311475,欧冠,08-20 03:00,流浪者,布鲁日,1,3,2.96,3.55,2.24,https://www.okooo.com/soccer/match/1311475/history/
25116,1311471,欧冠,08-21 03:00,巴塞尔,哥本哈根,1,1,2.55,3.36,2.68,https://www.okooo.com/soccer/match/1311471/history/
25116,1311467,欧冠,08-21 03:00,博德闪耀,格拉茨风暴,5,0,1.44,4.81,6.06,https://www.okooo.com/soccer/match/1311467/history/
25116,1311469,欧冠,08-21 03:00,凯尔特人,阿拉木图凯拉特,0,0,1.12,8.83,19.20,https://www.okooo.com/soccer/match/1311469/history/
25116,1311473,欧冠,08-21 03:00,费内巴切,本菲卡,0,0,2.84,3.36,2.41,https://www.okooo.com/soccer/match/1311473/history/
25116,1302558,西甲,08-20 03:00,皇马,奥萨苏纳,1,0,1.21,6.75,12.04,https://www.okooo.com/soccer/match/1302558/history/
25116,1311289,解放者杯,08-20 06:00,萨斯菲尔德,福塔雷萨,2,0,1.83,3.20,4.69,https://www.okooo.com/soccer/match/1311289/history/
25116,1311291,解放者杯,08-20 08:30,竞技俱乐部,佩纳罗尔,3,1,1.45,4.01,7.58,https://www.okooo.com/soccer/match/1311291/history/
25116,1311281,解放者杯,08-20 08:30,圣保罗,国民竞技,1,1,1.92,3.14,4.33,https://www.okooo.com/soccer/match/1311281/history/
25116,1311293,解放者杯,08-21 06:00,拉普大学,波特诺山丘,0,0,1.68,3.48,5.29,https://www.okooo.com/soccer/match/1311293/history/
25116,1311295,解放者杯,08-21 08:30,巴西国际,弗拉门戈,0,2,3.14,2.92,2.44,https://www.okooo.com/soccer/match/1311295/history/
