期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24003,1241894,足总杯,01-06 20:30,米尔沃尔,莱切城,2,3,2.86,3.21,2.45,https://www.okooo.com/soccer/match/1241894/history/
24003,1241896,足总杯,01-06 20:45,桑德兰,纽卡斯尔,0,3,4.77,4.18,1.61,https://www.okooo.com/soccer/match/1241896/history/
24003,1241889,足总杯,01-06 23:00,斯托克城,布莱顿,2,4,6.13,4.67,1.43,https://www.okooo.com/soccer/match/1241889/history/
24003,1241884,足总杯,01-06 23:00,女王巡游,伯恩茅斯,2,3,6.50,4.56,1.43,https://www.okooo.com/soccer/match/1241884/history/
24003,1241886,足总杯,01-07 01:30,米堡,维拉,0,1,4.46,4.16,1.66,https://www.okooo.com/soccer/match/1241886/history/
24003,1241891,足总杯,01-07 01:30,切尔西,普雷斯顿,4,0,1.17,7.09,14.08,https://www.okooo.com/soccer/match/1241891/history/
24003,1227975,意甲,01-06 19:30,国际米兰,维罗纳,2,1,1.16,7.47,15.30,https://www.okooo.com/soccer/match/1227975/history/
24003,1227974,意甲,01-06 22:00,弗洛西诺内,蒙扎,2,3,2.45,3.36,2.82,https://www.okooo.com/soccer/match/1227974/history/
24003,1227976,意甲,01-07 01:00,莱切,卡利亚里,1,1,2.20,3.16,3.47,https://www.okooo.com/soccer/match/1227976/history/
24003,1227979,意甲,01-07 03:45,萨索洛,佛罗伦萨,1,0,3.29,3.53,2.11,https://www.okooo.com/soccer/match/1227979/history/
24003,1228622,葡超,01-06 23:30,阿马多拉,维兹拉,1,1,2.76,3.19,2.50,https://www.okooo.com/soccer/match/1228622/history/
24003,1228623,葡超,01-06 23:30,法伦斯,吉维森特,1,0,2.18,3.32,3.17,https://www.okooo.com/soccer/match/1228623/history/
24003,1228620,葡超,01-07 02:00,阿罗卡,本菲卡,0,3,6.68,4.53,1.42,https://www.okooo.com/soccer/match/1228620/history/
24003,1228619,葡超,01-07 04:30,布拉加,吉马良斯,1,1,1.59,4.04,5.09,https://www.okooo.com/soccer/match/1228619/history/
