期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24078,1216833,英超,05-14 03:00,维拉,利物浦,3,3,3.78,4.47,1.76,https://www.okooo.com/soccer/match/1216833/history/
24078,1255287,英超,05-15 03:00,热刺,曼城,0,2,6.49,5.76,1.37,https://www.okooo.com/soccer/match/1255287/history/
24078,1228149,意甲,05-14 00:30,莱切,乌迪内斯,0,2,3.03,3.01,2.51,https://www.okooo.com/soccer/match/1228149/history/
24078,1228143,意甲,05-14 02:45,佛罗伦萨,蒙扎,2,1,1.49,4.41,6.08,https://www.okooo.com/soccer/match/1228143/history/
24078,1219342,西甲,05-14 03:00,巴萨,皇家社会,2,0,1.70,3.85,4.79,https://www.okooo.com/soccer/match/1219342/history/
24078,1219357,西甲,05-15 01:30,奥萨苏纳,马洛卡,1,1,2.72,2.85,2.95,https://www.okooo.com/soccer/match/1219357/history/
24078,1219359,西甲,05-15 03:30,皇马,阿拉维斯,5,0,1.20,6.80,12.45,https://www.okooo.com/soccer/match/1219359/history/
24078,1219351,西甲,05-15 04:00,赫罗纳,比利亚雷,0,1,1.65,4.50,4.38,https://www.okooo.com/soccer/match/1219351/history/
24078,1256368,荷甲,05-14 02:00,布雷达,罗达JC,3,1,2.27,3.46,2.88,https://www.okooo.com/soccer/match/1256368/history/
24078,1256370,荷甲,05-15 00:45,埃门,多德勒支,2,2,2.69,3.46,2.41,https://www.okooo.com/soccer/match/1256370/history/
24078,1256371,荷甲,05-15 03:00,格拉夫夏普,海牙,2,3,2.18,3.49,3.01,https://www.okooo.com/soccer/match/1256371/history/
24078,1242340,瑞典超,05-14 01:10,哥德堡,马尔默,0,3,4.06,3.51,1.83,https://www.okooo.com/soccer/match/1242340/history/
24078,1252523,解放者杯,05-15 06:00,佩纳罗尔,米内罗竞技,2,0,3.19,2.92,2.36,https://www.okooo.com/soccer/match/1252523/history/
24078,1252526,解放者杯,05-15 06:00,基多大学,巴兰基亚青年,0,1,1.48,4.11,6.19,https://www.okooo.com/soccer/match/1252526/history/
