期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23068,1172790,德甲,05-20 02:30,弗赖堡,沃尔夫斯堡,2,0,2.17,3.68,3.12,https://www.okooo.com/soccer/match/1172790/history/
23068,1174799,德乙,05-20 00:30,基尔,圣保利,3,4,2.90,3.78,2.15,https://www.okooo.com/soccer/match/1174799/history/
23068,1174796,德乙,05-20 00:30,达姆施塔特,马格德堡,1,0,1.38,5.05,6.67,https://www.okooo.com/soccer/match/1174796/history/
23068,1176728,意甲,05-20 02:45,萨索洛,蒙扎,1,2,2.11,3.60,3.28,https://www.okooo.com/soccer/match/1176728/history/
23068,1176334,西甲,05-20 03:00,加的斯,巴拉多利德,2,0,2.15,3.39,3.39,https://www.okooo.com/soccer/match/1176334/history/
23068,1172476,法甲,05-20 03:00,里昂,摩纳哥,3,1,2.32,3.90,2.72,https://www.okooo.com/soccer/match/1172476/history/
23068,1171224,荷乙,05-20 02:00,罗达JC,威廉二世,2,2,4.35,3.93,1.66,https://www.okooo.com/soccer/match/1171224/history/
23068,1171221,荷乙,05-20 02:00,海尔蒙特,兹沃勒,2,3,7.91,5.84,1.27,https://www.okooo.com/soccer/match/1171221/history/
23068,1171222,荷乙,05-20 02:00,赫拉克勒斯,阿贾青年队,2,0,1.23,6.61,8.30,https://www.okooo.com/soccer/match/1171222/history/
23068,1171218,荷乙,05-20 02:00,阿尔青年队,海牙,0,2,2.11,3.69,2.90,https://www.okooo.com/soccer/match/1171218/history/
23068,1171223,荷乙,05-20 02:00,埃因青年队,埃因FC,1,1,2.61,3.51,2.38,https://www.okooo.com/soccer/match/1171223/history/
23068,1171225,荷乙,05-20 02:00,特尔斯达,布雷达,2,1,2.11,3.60,2.98,https://www.okooo.com/soccer/match/1171225/history/
23068,1171219,荷乙,05-20 02:00,多德勒支,奥斯,2,2,1.86,3.75,3.55,https://www.okooo.com/soccer/match/1171219/history/
23068,1171217,荷乙,05-20 02:00,阿尔梅勒,马斯特里,1,0,1.39,5.13,5.78,https://www.okooo.com/soccer/match/1171217/history/
