期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24149,1276560,欧联,09-26 00:45,阿尔克马,埃尔夫斯堡,3,2,1.50,4.46,5.88,https://www.okooo.com/soccer/match/1276560/history/
24149,1276561,欧联,09-26 00:45,博德闪耀,波尔图,3,2,3.79,3.69,1.90,https://www.okooo.com/soccer/match/1276561/history/
24149,1276568,欧联,09-26 03:00,安德莱赫特,费伦茨,2,1,2.35,3.31,3.00,https://www.okooo.com/soccer/match/1276568/history/
24149,1276564,欧联,09-26 03:00,加拉塔萨雷,塞萨洛尼基,3,1,1.57,4.36,5.18,https://www.okooo.com/soccer/match/1276564/history/
24149,1276567,欧联,09-26 03:00,卢多戈雷茨,布拉格斯拉维亚,0,2,4.01,3.51,1.90,https://www.okooo.com/soccer/match/1276567/history/
24149,1276565,欧联,09-26 03:00,曼联,特温特,1,1,1.21,6.74,11.51,https://www.okooo.com/soccer/match/1276565/history/
24149,1276563,欧联,09-26 03:00,中日德兰,霍芬海姆,1,1,2.26,3.85,2.79,https://www.okooo.com/soccer/match/1276563/history/
24149,1276566,欧联,09-26 03:00,尼斯,皇家社会,1,1,2.33,3.01,3.35,https://www.okooo.com/soccer/match/1276566/history/
24149,1275838,意大利杯,09-26 00:30,乌迪内斯,萨勒尼塔纳,3,1,1.49,4.20,6.11,https://www.okooo.com/soccer/match/1275838/history/
24149,1275833,意大利杯,09-26 03:00,热那亚,桑普多利亚,1,1,1.84,3.30,4.45,https://www.okooo.com/soccer/match/1275833/history/
24149,1259798,西甲,09-26 01:00,赫罗纳,巴列卡诺,0,0,1.67,3.81,5.01,https://www.okooo.com/soccer/match/1259798/history/
24149,1259797,西甲,09-26 03:00,巴萨,赫塔费,1,0,1.24,6.06,11.48,https://www.okooo.com/soccer/match/1259797/history/
24149,1242465,瑞典超,09-26 01:00,佐加顿斯,布鲁马波卡纳,2,1,1.73,3.84,4.15,https://www.okooo.com/soccer/match/1242465/history/
24149,1242470,瑞典超,09-26 01:00,天狼星,索尔纳,0,1,2.53,3.19,2.69,https://www.okooo.com/soccer/match/1242470/history/
