期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25094,1299110,世俱杯,06-30 00:00,巴黎圣曼,迈阿密国际,4,0,1.13,9.18,17.28,https://www.okooo.com/soccer/match/1299110/history/
25094,1299109,世俱杯,06-30 04:00,弗拉门戈,拜仁,2,4,5.28,3.78,1.65,https://www.okooo.com/soccer/match/1299109/history/
25094,1299106,世俱杯,07-01 03:00,国际米兰,弗鲁米嫩塞,0,2,1.69,3.51,5.64,https://www.okooo.com/soccer/match/1299106/history/
25094,1299105,世俱杯,07-01 09:00,曼城,利雅新月,2,2,1.25,6.30,10.23,https://www.okooo.com/soccer/match/1299105/history/
25094,1299112,世俱杯,07-02 03:00,皇马,尤文,1,0,1.83,3.60,4.33,https://www.okooo.com/soccer/match/1299112/history/
25094,1299111,世俱杯,07-02 09:00,多特蒙德,蒙特雷,2,1,1.80,3.61,4.47,https://www.okooo.com/soccer/match/1299111/history/
25094,1280997,瑞典超,07-01 01:00,佐加顿斯,北雪平,1,1,1.64,4.08,4.53,https://www.okooo.com/soccer/match/1280997/history/
25094,1281001,瑞典超,07-01 01:00,米亚尔比,马尔默,1,1,2.30,3.26,2.98,https://www.okooo.com/soccer/match/1281001/history/
25094,1282054,挪超,06-29 23:00,布莱尼,汉坎,1,1,1.84,3.60,3.90,https://www.okooo.com/soccer/match/1282054/history/
25094,1282055,挪超,06-29 23:00,腓特烈斯塔,特罗姆瑟,0,1,2.43,3.12,2.89,https://www.okooo.com/soccer/match/1282055/history/
25094,1282059,挪超,06-30 01:15,斯特罗姆,瓦勒伦加,0,2,2.66,3.66,2.33,https://www.okooo.com/soccer/match/1282059/history/
25094,1282053,挪超,07-01 01:00,布兰,桑纳菲尤尔,1,0,1.63,4.26,4.45,https://www.okooo.com/soccer/match/1282053/history/
25094,1298812,金杯赛,06-30 04:00,加拿大,危地马拉,1,1,1.22,5.83,12.21,https://www.okooo.com/soccer/match/1298812/history/
25094,1298811,金杯赛,06-30 07:00,美国,哥斯达黎加,2,2,1.53,3.77,6.40,https://www.okooo.com/soccer/match/1298811/history/
