期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25159,1311601,亚冠,11-03 21:45,纳萨夫,瓦赫达,1,2,3.80,3.72,1.80,https://www.okooo.com/soccer/match/1311601/history/
25159,1311602,亚冠,11-04 00:00,多哈杜海勒,迪拜青年国民,4,1,2.66,3.54,2.31,https://www.okooo.com/soccer/match/1311602/history/
25159,1311604,亚冠,11-04 02:15,加拉法,利雅新月,1,2,7.85,5.66,1.28,https://www.okooo.com/soccer/match/1311604/history/
25159,1314001,英超,11-04 04:00,桑德兰,埃弗顿,1,1,3.17,3.08,2.41,https://www.okooo.com/soccer/match/1314001/history/
25159,1292661,意甲,11-04 01:30,萨索洛,热那亚,1,2,2.43,2.91,3.29,https://www.okooo.com/soccer/match/1292661/history/
25159,1292657,意甲,11-04 03:45,拉齐奥,卡利亚里,2,0,1.62,3.72,5.78,https://www.okooo.com/soccer/match/1292657/history/
25159,1302659,西甲,11-04 04:00,奥维耶多,奥萨苏纳,0,0,3.10,3.09,2.42,https://www.okooo.com/soccer/match/1302659/history/
25159,1313031,法乙,11-04 03:45,波城,特鲁瓦,1,1,3.11,3.22,2.21,https://www.okooo.com/soccer/match/1313031/history/
25159,1315101,荷乙,11-04 03:00,多德勒支,阿尔梅勒,0,1,2.23,3.69,2.71,https://www.okooo.com/soccer/match/1315101/history/
25159,1307850,葡超,11-04 04:45,吉维森特,圣克拉拉,1,0,2.02,2.98,4.14,https://www.okooo.com/soccer/match/1307850/history/
25159,1281130,瑞典超,11-04 02:00,代格福什,哈马比,1,1,3.19,3.59,2.06,https://www.okooo.com/soccer/match/1281130/history/
25159,1281131,瑞典超,11-04 02:00,韦纳穆,米亚尔比,0,5,5.32,4.39,1.51,https://www.okooo.com/soccer/match/1281131/history/
25159,1313018,芬超,11-04 00:00,坦山猫,塞伊奈,3,3,1.60,4.57,4.12,https://www.okooo.com/soccer/match/1313018/history/
25159,1313019,芬超,11-04 01:00,赫尔火花,赫尔辛,2,2,3.88,4.22,1.69,https://www.okooo.com/soccer/match/1313019/history/
