期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25018,1283929,足总杯,02-09 23:00,普利茅斯,利物浦,1,0,12.93,7.11,1.18,https://www.okooo.com/soccer/match/1283929/history/
25018,1283926,足总杯,02-10 01:35,维拉,热刺,2,1,1.69,4.28,4.18,https://www.okooo.com/soccer/match/1283926/history/
25018,1269496,德甲,02-09 22:30,基尔,波鸿,2,2,2.28,3.49,3.01,https://www.okooo.com/soccer/match/1269496/history/
25018,1269489,德甲,02-10 00:30,莱比锡,圣保利,2,0,1.65,3.97,5.05,https://www.okooo.com/soccer/match/1269489/history/
25018,1269163,意甲,02-09 22:00,拉齐奥,蒙扎,5,1,1.30,5.50,9.77,https://www.okooo.com/soccer/match/1269163/history/
25018,1269158,意甲,02-09 22:00,卡利亚里,帕尔马,2,1,1.92,3.57,3.91,https://www.okooo.com/soccer/match/1269158/history/
25018,1269164,意甲,02-10 01:00,莱切,博洛尼亚,0,0,4.36,3.21,1.94,https://www.okooo.com/soccer/match/1269164/history/
25018,1269165,意甲,02-10 03:45,那不勒斯,乌迪内斯,1,1,1.43,4.32,7.78,https://www.okooo.com/soccer/match/1269165/history/
25018,1259965,西甲,02-09 23:15,巴伦西亚,莱加内斯,2,0,1.77,3.36,5.18,https://www.okooo.com/soccer/match/1259965/history/
25018,1259966,西甲,02-10 01:30,皇家社会,西班牙人,2,1,1.61,3.65,6.26,https://www.okooo.com/soccer/match/1259966/history/
25018,1263196,法甲,02-10 00:15,欧塞尔,图卢兹,2,2,2.92,3.25,2.45,https://www.okooo.com/soccer/match/1263196/history/
25018,1263198,法甲,02-10 00:15,斯特拉斯,蒙彼利埃,2,0,1.68,4.01,4.71,https://www.okooo.com/soccer/match/1263198/history/
25018,1263203,法甲,02-10 03:45,昂热,马赛,0,2,5.48,4.10,1.58,https://www.okooo.com/soccer/match/1263203/history/
25018,1270233,葡超,02-10 02:00,布拉加,吉维森特,2,0,1.63,3.86,5.02,https://www.okooo.com/soccer/match/1270233/history/
