期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25023,1260362,英超,02-16 22:00,利物浦,狼队,2,1,1.22,6.77,11.56,https://www.okooo.com/soccer/match/1260362/history/
25023,1260365,英超,02-17 00:30,热刺,曼联,1,0,2.19,3.76,3.02,https://www.okooo.com/soccer/match/1260365/history/
25023,1269501,德甲,02-16 22:30,不来梅,霍芬海姆,1,3,1.86,3.84,3.84,https://www.okooo.com/soccer/match/1269501/history/
25023,1269499,德甲,02-17 00:30,法兰克福,基尔,3,1,1.33,5.58,8.02,https://www.okooo.com/soccer/match/1269499/history/
25023,1269500,德甲,02-17 02:30,海登海姆,美因茨,0,2,3.57,3.41,2.07,https://www.okooo.com/soccer/match/1269500/history/
25023,1269175,意甲,02-16 22:00,蒙扎,莱切,0,0,2.78,3.01,2.74,https://www.okooo.com/soccer/match/1269175/history/
25023,1269177,意甲,02-16 22:00,乌迪内斯,恩波利,3,0,1.89,3.37,4.34,https://www.okooo.com/soccer/match/1269177/history/
25023,1269176,意甲,02-17 01:00,帕尔马,罗马,0,1,3.66,3.35,2.07,https://www.okooo.com/soccer/match/1269176/history/
25023,1269172,意甲,02-17 03:45,尤文,国际米兰,1,0,3.78,3.26,2.07,https://www.okooo.com/soccer/match/1269172/history/
25023,1259975,西甲,02-17 01:30,马洛卡,拉斯马斯,3,1,1.80,3.38,4.91,https://www.okooo.com/soccer/match/1259975/history/
25023,1259969,西甲,02-17 04:00,贝蒂斯,皇家社会,3,0,2.39,3.08,3.20,https://www.okooo.com/soccer/match/1259969/history/
25023,1263212,法甲,02-17 00:15,勒阿弗尔,尼斯,1,3,5.27,4.04,1.61,https://www.okooo.com/soccer/match/1263212/history/
25023,1263208,法甲,02-17 00:15,朗斯,斯特拉斯,0,2,1.84,3.72,4.09,https://www.okooo.com/soccer/match/1263208/history/
25023,1263210,法甲,02-17 03:45,雷恩,里尔,0,2,2.93,3.11,2.54,https://www.okooo.com/soccer/match/1263210/history/
