期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23007,1171597,英超,01-14 04:00,维拉,利兹联,2,1,2.00,3.58,3.68,https://www.okooo.com/soccer/match/1171597/history/
23007,1176546,意甲,01-14 03:45,那不勒斯,尤文,5,1,2.02,3.36,3.85,https://www.okooo.com/soccer/match/1176546/history/
23007,1176151,西甲,01-14 04:00,塞尔塔,比利亚雷,1,1,2.80,3.20,2.59,https://www.okooo.com/soccer/match/1176151/history/
23007,1173174,法乙,01-14 03:45,甘冈,格勒诺布尔,2,4,2.13,3.01,3.61,https://www.okooo.com/soccer/match/1173174/history/
23007,1173173,法乙,01-14 03:45,勒阿弗尔,尼姆,3,1,1.49,3.78,6.92,https://www.okooo.com/soccer/match/1173173/history/
23007,1173172,法乙,01-14 03:45,第戎,瓦朗谢讷,2,1,2.02,3.09,3.86,https://www.okooo.com/soccer/match/1173172/history/
23007,1173171,法乙,01-14 03:45,巴斯蒂亚,波城,1,0,1.93,3.15,4.14,https://www.okooo.com/soccer/match/1173171/history/
23007,1173168,法乙,01-14 03:45,拉瓦勒,罗德兹,3,1,2.18,3.03,3.45,https://www.okooo.com/soccer/match/1173168/history/
23007,1173167,法乙,01-14 03:45,阿纳西,巴黎FC,2,0,2.84,2.98,2.56,https://www.okooo.com/soccer/match/1173167/history/
23007,1173166,法乙,01-14 03:45,梅斯,克维伊,2,0,2.05,3.15,3.64,https://www.okooo.com/soccer/match/1173166/history/
23007,1171042,荷乙,01-14 03:00,罗达JC,奥斯,1,1,1.42,4.28,6.74,https://www.okooo.com/soccer/match/1171042/history/
23007,1171041,荷乙,01-14 03:00,海尔蒙特,布雷达,2,2,2.53,3.19,2.64,https://www.okooo.com/soccer/match/1171041/history/
23007,1171039,荷乙,01-14 03:00,格拉夫夏普,阿贾青年队,3,0,1.63,4.14,4.30,https://www.okooo.com/soccer/match/1171039/history/
23007,1171037,荷乙,01-14 03:00,海牙,马斯特里,2,1,1.88,3.74,3.47,https://www.okooo.com/soccer/match/1171037/history/
