期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24105,1259500,天皇杯,07-10 17:30,德岛漩涡,神户胜利,0,2,4.97,3.91,1.57,https://www.okooo.com/soccer/match/1259500/history/
24105,1259512,天皇杯,07-10 17:30,横滨FC,鸟栖沙岩,1,3,2.00,3.35,3.39,https://www.okooo.com/soccer/match/1259512/history/
24105,1259507,天皇杯,07-10 18:00,长崎航海,新泻天鹅,6,1,2.93,3.43,2.18,https://www.okooo.com/soccer/match/1259507/history/
24105,1259504,天皇杯,07-10 18:00,山形山神,札幌冈萨多,3,6,2.90,3.44,2.18,https://www.okooo.com/soccer/match/1259504/history/
24105,1259510,天皇杯,07-10 18:00,千叶市原,东京FC,1,1,3.11,3.33,2.12,https://www.okooo.com/soccer/match/1259510/history/
24105,1259501,天皇杯,07-10 18:00,藤枝MYFC,鹿岛鹿角,1,2,6.69,4.53,1.38,https://www.okooo.com/soccer/match/1259501/history/
24105,1259505,天皇杯,07-10 18:00,清水鼓动,京都不死鸟,1,3,2.12,3.25,3.16,https://www.okooo.com/soccer/match/1259505/history/
24105,1259502,天皇杯,07-10 18:00,磐城FC,广岛三箭,0,4,8.52,5.23,1.28,https://www.okooo.com/soccer/match/1259502/history/
24105,1259509,天皇杯,07-10 18:00,湘南海洋,东京绿茵,1,0,2.72,3.19,2.42,https://www.okooo.com/soccer/match/1259509/history/
24105,1259513,天皇杯,07-10 18:00,爱媛FC,福冈黄蜂,2,0,7.20,4.50,1.36,https://www.okooo.com/soccer/match/1259513/history/
24105,1249239,欧洲杯,07-10 03:00,西班牙,法国,2,1,2.71,2.80,3.12,https://www.okooo.com/soccer/match/1249239/history/
24105,1249230,欧洲杯,07-11 03:00,荷兰,英格兰,1,2,3.19,2.81,2.65,https://www.okooo.com/soccer/match/1249230/history/
24105,1249263,美洲杯,07-10 08:00,阿根廷,加拿大,2,0,1.32,5.03,10.55,https://www.okooo.com/soccer/match/1249263/history/
24105,1249262,美洲杯,07-11 08:00,乌拉圭,哥伦比亚,0,1,2.72,2.73,3.13,https://www.okooo.com/soccer/match/1249262/history/
