期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23038,1171686,英超,03-18 23:00,狼队,利兹联,2,4,2.34,3.20,3.19,https://www.okooo.com/soccer/match/1171686/history/
23038,1171685,英超,03-18 23:00,南安普敦,热刺,3,3,4.47,3.60,1.81,https://www.okooo.com/soccer/match/1171685/history/
23038,1171679,英超,03-18 23:00,布伦特,莱切城,1,1,1.86,3.77,3.97,https://www.okooo.com/soccer/match/1171679/history/
23038,1171678,英超,03-18 23:00,维拉,伯恩茅斯,3,0,1.71,3.80,4.87,https://www.okooo.com/soccer/match/1171678/history/
23038,1171681,英超,03-19 01:30,切尔西,埃弗顿,2,2,1.47,4.14,7.70,https://www.okooo.com/soccer/match/1171681/history/
23038,1172724,德甲,03-18 22:30,斯图加特,沃尔夫斯堡,0,1,2.09,3.41,3.54,https://www.okooo.com/soccer/match/1172724/history/
23038,1172723,德甲,03-18 22:30,奥格斯堡,沙尔克,1,1,2.37,3.35,2.98,https://www.okooo.com/soccer/match/1172723/history/
23038,1172722,德甲,03-18 22:30,波鸿,莱比锡,1,0,5.73,4.29,1.54,https://www.okooo.com/soccer/match/1172722/history/
23038,1172716,德甲,03-19 01:30,多特蒙德,科隆,6,1,1.52,4.56,5.63,https://www.okooo.com/soccer/match/1172716/history/
23038,1176636,意甲,03-19 01:00,萨勒尼塔纳,博洛尼亚,2,2,3.48,3.16,2.22,https://www.okooo.com/soccer/match/1176636/history/
23038,1176640,意甲,03-19 03:45,乌迪内斯,AC米兰,3,1,3.61,3.32,2.10,https://www.okooo.com/soccer/match/1176640/history/
23038,1176250,西甲,03-18 23:15,巴列卡诺,赫罗纳,2,2,2.04,3.33,3.78,https://www.okooo.com/soccer/match/1176250/history/
23038,1176248,西甲,03-19 01:30,西班牙人,塞尔塔,1,3,2.92,3.04,2.60,https://www.okooo.com/soccer/match/1176248/history/
23038,1176241,西甲,03-19 04:00,马竞,巴伦西亚,3,0,1.50,4.03,7.16,https://www.okooo.com/soccer/match/1176241/history/
