期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23102,1216486,英超,08-19 02:45,诺丁汉森林,谢菲联,2,1,1.92,3.41,4.22,https://www.okooo.com/soccer/match/1216486/history/
23102,1219406,英冠,08-19 03:00,利兹联,西布朗,1,1,2.07,3.43,3.39,https://www.okooo.com/soccer/match/1219406/history/
23102,1225942,德甲,08-19 02:30,不来梅,拜仁,0,4,8.44,6.04,1.30,https://www.okooo.com/soccer/match/1225942/history/
23102,1219012,西甲,08-19 01:30,马洛卡,比利亚雷,0,1,2.73,3.18,2.68,https://www.okooo.com/soccer/match/1219012/history/
23102,1219019,西甲,08-19 03:30,巴伦西亚,拉斯马斯,1,0,1.59,3.85,6.02,https://www.okooo.com/soccer/match/1219019/history/
23102,1225226,法甲,08-19 03:00,梅斯,马赛,2,2,4.59,3.90,1.72,https://www.okooo.com/soccer/match/1225226/history/
23102,1224417,荷甲,08-19 02:00,赫拉克勒斯,奈梅亨,2,1,2.47,3.45,2.66,https://www.okooo.com/soccer/match/1224417/history/
23102,1224731,荷乙,08-19 02:00,特尔斯达,坎布尔,2,3,3.20,3.47,2.06,https://www.okooo.com/soccer/match/1224731/history/
23102,1224730,荷乙,08-19 02:00,布雷达,阿尔青年队,2,1,1.67,3.77,4.53,https://www.okooo.com/soccer/match/1224730/history/
23102,1224725,荷乙,08-19 02:00,埃门,芬洛,2,2,1.69,3.78,4.33,https://www.okooo.com/soccer/match/1224725/history/
23102,1224724,荷乙,08-19 02:00,海牙,罗达JC,0,3,2.02,3.58,3.21,https://www.okooo.com/soccer/match/1224724/history/
23102,1224728,荷乙,08-19 02:00,威廉二世,多德勒支,2,0,1.28,5.48,8.47,https://www.okooo.com/soccer/match/1224728/history/
23102,1224726,荷乙,08-19 02:00,奥斯,埃因青年队,4,1,2.55,3.43,2.49,https://www.okooo.com/soccer/match/1224726/history/
23102,1224727,荷乙,08-19 02:00,海尔蒙特,登博思,1,0,1.68,3.82,4.36,https://www.okooo.com/soccer/match/1224727/history/
