期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23148,1234192,世亚预,11-16 20:30,泰国,中国,1,2,2.18,3.32,2.96,https://www.okooo.com/soccer/match/1234192/history/
23148,1240930,世南美预,11-17 04:00,玻利维亚,秘鲁,2,0,2.23,2.97,3.54,https://www.okooo.com/soccer/match/1240930/history/
23148,1240929,世南美预,11-17 06:00,委内瑞拉,厄瓜多尔,0,0,2.73,2.83,2.87,https://www.okooo.com/soccer/match/1240929/history/
23148,1240928,世南美预,11-17 08:00,哥伦比亚,巴西,2,1,3.56,3.12,2.15,https://www.okooo.com/soccer/match/1240928/history/
23148,1240932,世南美预,11-17 08:00,阿根廷,乌拉圭,0,2,1.56,3.70,6.44,https://www.okooo.com/soccer/match/1240932/history/
23148,1240933,世南美预,11-17 08:30,智利,巴拉圭,0,0,1.70,3.37,5.41,https://www.okooo.com/soccer/match/1240933/history/
23148,1198390,欧预赛,11-17 01:00,阿塞拜疆,瑞典,3,0,6.41,4.23,1.49,https://www.okooo.com/soccer/match/1198390/history/
23148,1198290,欧预赛,11-17 01:00,格鲁吉亚,苏格兰,2,2,3.24,3.22,2.25,https://www.okooo.com/soccer/match/1198290/history/
23148,1198291,欧预赛,11-17 01:00,塞浦路斯,西班牙,1,3,43.64,15.58,1.03,https://www.okooo.com/soccer/match/1198291/history/
23148,1198500,欧预赛,11-17 03:45,列支敦士登,葡萄牙,0,2,69.21,23.23,1.01,https://www.okooo.com/soccer/match/1198500/history/
23148,1198439,欧预赛,11-18 01:00,芬兰,北爱尔兰,4,0,2.17,3.02,3.70,https://www.okooo.com/soccer/match/1198439/history/
23148,1198440,欧预赛,11-18 03:45,丹麦,斯洛文尼亚,2,1,1.57,3.67,6.45,https://www.okooo.com/soccer/match/1198440/history/
23148,1198370,欧预赛,11-18 03:45,波兰,捷克,1,1,2.45,3.14,2.98,https://www.okooo.com/soccer/match/1198370/history/
23148,1198330,欧预赛,11-18 03:45,意大利,北马其顿,5,2,1.12,8.70,21.58,https://www.okooo.com/soccer/match/1198330/history/
