期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25149,1311600,亚冠,10-22 20:15,上海申花,首尔FC,2,0,2.70,3.45,2.34,https://www.okooo.com/soccer/match/1311600/history/
25149,1312460,欧冠,10-23 00:45,毕尔巴鄂,卡拉巴,3,1,1.31,5.41,9.03,https://www.okooo.com/soccer/match/1312460/history/
25149,1312461,欧冠,10-23 00:45,加拉塔萨雷,博德闪耀,3,1,1.54,4.69,5.15,https://www.okooo.com/soccer/match/1312461/history/
25149,1312463,欧冠,10-23 03:00,亚特兰大,布拉格斯拉维亚,0,0,1.34,5.32,8.49,https://www.okooo.com/soccer/match/1312463/history/
25149,1312466,欧冠,10-23 03:00,拜仁,布鲁日,4,0,1.12,9.78,17.70,https://www.okooo.com/soccer/match/1312466/history/
25149,1312464,欧冠,10-23 03:00,切尔西,阿贾克斯,5,1,1.32,5.76,8.15,https://www.okooo.com/soccer/match/1312464/history/
25149,1312465,欧冠,10-23 03:00,法兰克福,利物浦,1,5,5.00,4.68,1.55,https://www.okooo.com/soccer/match/1312465/history/
25149,1312462,欧冠,10-23 03:00,摩纳哥,热刺,0,0,2.93,3.54,2.31,https://www.okooo.com/soccer/match/1312462/history/
25149,1312467,欧冠,10-23 03:00,皇马,尤文,1,0,1.43,4.89,6.53,https://www.okooo.com/soccer/match/1312467/history/
25149,1312468,欧冠,10-23 03:00,里斯本,马赛,2,1,2.14,3.66,3.16,https://www.okooo.com/soccer/match/1312468/history/
25149,1299263,英冠,10-23 02:45,斯旺西,女王巡游,0,1,2.09,3.41,3.35,https://www.okooo.com/soccer/match/1299263/history/
25149,1299264,英冠,10-23 02:45,沃特福德,西布朗,2,1,2.76,3.11,2.59,https://www.okooo.com/soccer/match/1299264/history/
25149,1299265,英冠,10-23 02:45,雷克斯汉姆,牛津联,1,0,2.00,3.40,3.62,https://www.okooo.com/soccer/match/1299265/history/
25149,1313010,芬超,10-23 00:00,赫尔辛,塞伊奈,3,4,1.98,3.98,3.02,https://www.okooo.com/soccer/match/1313010/history/
