期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25172,1311623,亚冠,11-26 18:00,蔚山现代,布里兰,0,0,3.24,3.28,2.11,https://www.okooo.com/soccer/match/1311623/history/
25172,1312496,欧冠,11-27 01:45,哥本哈根,阿拉木图凯拉特,3,2,1.30,5.38,10.14,https://www.okooo.com/soccer/match/1312496/history/
25172,1312497,欧冠,11-27 01:45,AEP帕福斯,摩纳哥,2,2,6.26,4.49,1.49,https://www.okooo.com/soccer/match/1312497/history/
25172,1312498,欧冠,11-27 04:00,阿森纳,拜仁,3,1,2.03,3.57,3.57,https://www.okooo.com/soccer/match/1312498/history/
25172,1312499,欧冠,11-27 04:00,马竞,国际米兰,2,1,2.57,3.39,2.72,https://www.okooo.com/soccer/match/1312499/history/
25172,1312500,欧冠,11-27 04:00,法兰克福,亚特兰大,0,3,2.80,3.51,2.43,https://www.okooo.com/soccer/match/1312500/history/
25172,1312501,欧冠,11-27 04:00,利物浦,埃因霍温,1,4,1.24,6.91,9.64,https://www.okooo.com/soccer/match/1312501/history/
25172,1312502,欧冠,11-27 04:00,奥林匹亚科斯,皇马,3,4,4.94,4.56,1.60,https://www.okooo.com/soccer/match/1312502/history/
25172,1312504,欧冠,11-27 04:00,巴黎圣曼,热刺,5,3,1.39,4.89,7.66,https://www.okooo.com/soccer/match/1312504/history/
25172,1312503,欧冠,11-27 04:00,里斯本,布鲁日,3,0,1.52,4.48,5.89,https://www.okooo.com/soccer/match/1312503/history/
25172,1299334,英冠,11-27 03:45,布莱克本,女王巡游,0,1,2.30,3.33,2.99,https://www.okooo.com/soccer/match/1299334/history/
25172,1299329,英冠,11-27 03:45,谢菲联,朴次茅斯,3,0,1.68,3.75,4.81,https://www.okooo.com/soccer/match/1299329/history/
25172,1299336,英冠,11-27 03:45,雷克斯汉姆,布里斯托,2,0,2.48,3.20,2.82,https://www.okooo.com/soccer/match/1299336/history/
25172,1299337,英冠,11-27 04:00,西布朗,伯明翰,1,1,2.85,3.05,2.55,https://www.okooo.com/soccer/match/1299337/history/
