期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24033,1216735,英超,03-03 23:30,曼城,曼联,3,1,1.25,6.50,9.83,https://www.okooo.com/soccer/match/1216735/history/
24033,1226153,德甲,03-03 22:30,科隆,勒沃库森,0,2,8.13,5.10,1.35,https://www.okooo.com/soccer/match/1226153/history/
24033,1226154,德甲,03-04 00:30,霍芬海姆,不来梅,2,1,1.93,3.95,3.46,https://www.okooo.com/soccer/match/1226154/history/
24033,1228054,意甲,03-03 22:00,弗洛西诺内,莱切,1,1,2.28,3.29,3.15,https://www.okooo.com/soccer/match/1228054/history/
24033,1228053,意甲,03-03 22:00,恩波利,卡利亚里,0,1,2.25,3.25,3.26,https://www.okooo.com/soccer/match/1228053/history/
24033,1228052,意甲,03-04 01:00,亚特兰大,博洛尼亚,1,2,2.00,3.41,3.75,https://www.okooo.com/soccer/match/1228052/history/
24033,1228059,意甲,03-04 03:45,那不勒斯,尤文,2,1,2.30,3.11,3.32,https://www.okooo.com/soccer/match/1228059/history/
24033,1219261,西甲,03-03 23:15,马竞,贝蒂斯,2,1,1.51,4.26,6.17,https://www.okooo.com/soccer/match/1219261/history/
24033,1219265,西甲,03-04 01:30,马洛卡,赫罗纳,1,0,3.49,3.26,2.15,https://www.okooo.com/soccer/match/1219265/history/
24033,1219260,西甲,03-04 04:00,毕尔巴鄂,巴萨,0,0,3.10,3.45,2.24,https://www.okooo.com/soccer/match/1219260/history/
24033,1225423,法甲,03-03 22:00,蒙彼利埃,斯特拉斯,2,2,1.98,3.57,3.61,https://www.okooo.com/soccer/match/1225423/history/
24033,1225419,法甲,03-04 03:45,里昂,朗斯,0,3,2.54,3.26,2.78,https://www.okooo.com/soccer/match/1225419/history/
24033,1228696,葡超,03-03 23:30,卡萨皮亚,吉维森特,0,0,2.56,3.00,2.86,https://www.okooo.com/soccer/match/1228696/history/
24033,1228691,葡超,03-04 04:30,波尔图,本菲卡,5,0,2.32,3.36,2.91,https://www.okooo.com/soccer/match/1228691/history/
