期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23119,1237741,亚运男足,09-21 19:30,伊朗U23,越南U23,4,0,1.34,4.55,7.48,https://www.okooo.com/soccer/match/1237741/history/
23119,1237743,亚运男足,09-21 19:30,泰国U23,韩国U23,0,4,16.53,7.78,1.10,https://www.okooo.com/soccer/match/1237743/history/
23119,1237009,欧联,09-22 00:45,卡拉巴,莫尔德,1,0,2.30,3.46,2.98,https://www.okooo.com/soccer/match/1237009/history/
23119,1237012,欧联,09-22 00:45,林茨,利物浦,1,3,8.31,5.66,1.31,https://www.okooo.com/soccer/match/1237012/history/
23119,1237013,欧联,09-22 00:45,谢里夫,罗马,1,2,7.78,4.17,1.45,https://www.okooo.com/soccer/match/1237013/history/
23119,1237014,欧联,09-22 00:45,勒沃库森,赫根,4,0,1.08,11.42,23.85,https://www.okooo.com/soccer/match/1237014/history/
23119,1237010,欧联,09-22 00:45,帕纳辛纳科斯,比利亚雷,2,0,2.59,3.26,2.76,https://www.okooo.com/soccer/match/1237010/history/
23119,1237015,欧联,09-22 00:45,雷恩,海法马卡比,3,0,1.57,4.17,5.55,https://www.okooo.com/soccer/match/1237015/history/
23119,1237019,欧联,09-22 03:00,西汉姆,托波拉,3,1,1.11,9.48,21.24,https://www.okooo.com/soccer/match/1237019/history/
23119,1237025,欧联,09-22 03:00,格拉茨风暴,里斯本,1,2,3.85,3.65,1.90,https://www.okooo.com/soccer/match/1237025/history/
23119,1237020,欧联,09-22 03:00,亚特兰大,琴斯托霍瓦,2,0,1.29,5.48,10.15,https://www.okooo.com/soccer/match/1237020/history/
23119,1237021,欧联,09-22 03:00,奥林匹亚科斯,弗赖堡,2,3,2.49,3.30,2.83,https://www.okooo.com/soccer/match/1237021/history/
23119,1237017,欧联,09-22 03:00,流浪者,贝蒂斯,1,0,2.52,3.37,2.75,https://www.okooo.com/soccer/match/1237017/history/
23119,1237016,欧联,09-22 03:00,阿贾克斯,马赛,3,3,2.52,3.54,2.67,https://www.okooo.com/soccer/match/1237016/history/
