期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
26021,1299483,英冠,01-31 04:00,布里斯托,德比郡,0,5,2.00,3.41,3.64,https://www.okooo.com/soccer/match/1299483/history/
26021,1299957,德甲,01-31 03:30,科隆,沃尔夫斯堡,1,0,2.04,3.67,3.39,https://www.okooo.com/soccer/match/1299957/history/
26021,1307623,德乙,01-31 01:30,马格德堡,汉诺威,1,2,2.53,3.52,2.53,https://www.okooo.com/soccer/match/1307623/history/
26021,1307626,德乙,01-31 01:30,纽伦堡,明斯特,1,1,2.08,3.39,3.36,https://www.okooo.com/soccer/match/1307626/history/
26021,1292789,意甲,01-31 03:45,拉齐奥,热那亚,3,2,2.23,2.91,3.81,https://www.okooo.com/soccer/match/1292789/history/
26021,1302765,西甲,01-31 04:00,西班牙人,阿拉维斯,1,2,1.96,3.09,4.50,https://www.okooo.com/soccer/match/1302765/history/
26021,1301417,法甲,01-31 03:45,朗斯,勒阿弗尔,1,0,1.42,4.70,7.12,https://www.okooo.com/soccer/match/1301417/history/
26021,1301864,法乙,01-31 03:00,克莱蒙,兰斯,0,1,4.10,3.38,1.85,https://www.okooo.com/soccer/match/1301864/history/
26021,1301863,法乙,01-31 03:00,格勒诺布尔,亚眠,2,1,1.98,3.21,3.77,https://www.okooo.com/soccer/match/1301863/history/
26021,1301859,法乙,01-31 03:00,拉瓦勒,波城,0,1,3.23,3.21,2.17,https://www.okooo.com/soccer/match/1301859/history/
26021,1301866,法乙,01-31 03:00,蒙彼利埃,甘冈,3,1,2.40,3.08,2.95,https://www.okooo.com/soccer/match/1301866/history/
26021,1301858,法乙,01-31 03:00,罗德兹,圣旺红星,1,1,2.72,3.28,2.44,https://www.okooo.com/soccer/match/1301858/history/
26021,1296665,荷甲,01-31 03:00,布雷达,特温特,2,2,3.36,3.35,2.11,https://www.okooo.com/soccer/match/1296665/history/
26021,1307942,葡超,01-31 04:45,吉马良斯,摩雷伦斯,1,0,1.88,3.28,4.30,https://www.okooo.com/soccer/match/1307942/history/
