期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24048,1216767,英超,03-30 23:00,诺丁汉森林,水晶宫,1,1,2.23,3.30,3.26,https://www.okooo.com/soccer/match/1216767/history/
24048,1216760,英超,03-30 23:00,伯恩茅斯,埃弗顿,2,1,2.16,3.63,3.12,https://www.okooo.com/soccer/match/1216760/history/
24048,1216763,英超,03-30 23:00,切尔西,伯恩利,2,2,1.26,6.23,9.92,https://www.okooo.com/soccer/match/1216763/history/
24048,1216769,英超,03-30 23:00,热刺,卢顿,2,1,1.20,7.57,11.09,https://www.okooo.com/soccer/match/1216769/history/
24048,1216761,英超,03-31 01:30,维拉,狼队,2,0,1.53,4.31,5.87,https://www.okooo.com/soccer/match/1216761/history/
24048,1216762,英超,03-31 04:00,布伦特,曼联,1,1,3.23,3.91,2.04,https://www.okooo.com/soccer/match/1216762/history/
24048,1226181,德甲,03-30 22:30,不来梅,沃尔夫斯堡,0,2,2.62,3.43,2.58,https://www.okooo.com/soccer/match/1226181/history/
24048,1226178,德甲,03-30 22:30,勒沃库森,霍芬海姆,2,1,1.19,7.48,11.73,https://www.okooo.com/soccer/match/1226178/history/
24048,1226179,德甲,03-30 22:30,法兰克福,柏林联合,0,0,1.92,3.43,4.01,https://www.okooo.com/soccer/match/1226179/history/
24048,1226176,德甲,03-31 01:30,拜仁,多特蒙德,0,2,1.35,5.90,6.79,https://www.okooo.com/soccer/match/1226176/history/
24048,1228087,意甲,03-31 01:00,拉齐奥,尤文,1,0,3.20,3.03,2.40,https://www.okooo.com/soccer/match/1228087/history/
24048,1228084,意甲,03-31 03:45,佛罗伦萨,AC米兰,1,2,2.94,3.34,2.38,https://www.okooo.com/soccer/match/1228084/history/
24048,1225447,法甲,03-31 04:00,里昂,兰斯,1,1,2.04,3.61,3.41,https://www.okooo.com/soccer/match/1225447/history/
24048,1228723,葡超,03-30 23:30,吉马良斯,摩雷伦斯,1,0,1.91,3.30,4.06,https://www.okooo.com/soccer/match/1228723/history/
