期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
25127,1280831,世欧预,09-06 21:00,拉脱维亚,塞尔维亚,0,1,10.67,5.18,1.29,https://www.okooo.com/soccer/match/1280831/history/
25127,1280751,世欧预,09-07 00:00,亚美尼亚,葡萄牙,0,5,18.44,9.20,1.12,https://www.okooo.com/soccer/match/1280751/history/
25127,1280832,世欧预,09-07 00:00,英格兰,安道尔,2,0,1.01,28.89,62.76,https://www.okooo.com/soccer/match/1280832/history/
25127,1280771,世欧预,09-07 02:45,奥地利,塞浦路斯,1,0,1.09,11.07,23.98,https://www.okooo.com/soccer/match/1280771/history/
25127,1280752,世欧预,09-07 02:45,爱尔兰,匈牙利,2,2,2.64,3.00,2.89,https://www.okooo.com/soccer/match/1280752/history/
25127,1280772,世欧预,09-07 02:45,圣马力诺,波黑,0,6,24.05,9.27,1.10,https://www.okooo.com/soccer/match/1280772/history/
25127,1280741,世欧预,09-07 21:00,格鲁吉亚,保加利亚,3,0,1.27,5.41,12.10,https://www.okooo.com/soccer/match/1280741/history/
25127,1280813,世欧预,09-08 00:00,北马其顿,列支敦士登,5,0,1.05,12.39,39.97,https://www.okooo.com/soccer/match/1280813/history/
25127,1280814,世欧预,09-08 02:45,比利时,哈萨克斯坦,6,0,1.05,14.11,36.80,https://www.okooo.com/soccer/match/1280814/history/
25127,1280706,世欧预,09-08 02:45,德国,北爱尔兰,3,1,1.18,7.30,13.90,https://www.okooo.com/soccer/match/1280706/history/
25127,1280705,世欧预,09-08 02:45,卢森堡,斯洛伐克,0,1,4.99,3.33,1.79,https://www.okooo.com/soccer/match/1280705/history/
25127,1280854,世欧预,09-08 02:45,波兰,芬兰,3,1,1.44,4.44,7.15,https://www.okooo.com/soccer/match/1280854/history/
25127,1280742,世欧预,09-08 02:45,土耳其,西班牙,0,6,6.00,4.43,1.50,https://www.okooo.com/soccer/match/1280742/history/
25127,1307788,葡超,09-07 03:30,埃斯托里,圣克拉拉,0,1,3.24,2.98,2.35,https://www.okooo.com/soccer/match/1307788/history/
