期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24118,1268667,奥运男足,08-10 00:00,法国国奥,西班牙国奥,3,3,2.39,3.05,3.15,https://www.okooo.com/soccer/match/1268667/history/
24118,1268692,奥运女足,08-09 21:00,西班牙女足,德国女足,0,1,1.83,3.65,3.89,https://www.okooo.com/soccer/match/1268692/history/
24118,1264309,英冠,08-10 03:00,布莱克本,德比郡,4,2,2.15,3.33,3.26,https://www.okooo.com/soccer/match/1264309/history/
24118,1264310,英冠,08-10 03:00,普雷斯顿,谢菲联,0,2,3.08,3.33,2.23,https://www.okooo.com/soccer/match/1264310/history/
24118,1271701,德乙,08-10 00:30,凯泽斯劳滕,菲尔特,2,2,1.97,3.68,3.36,https://www.okooo.com/soccer/match/1271701/history/
24118,1271704,德乙,08-10 00:30,雷根斯堡,乌尔姆,1,0,2.47,3.21,2.78,https://www.okooo.com/soccer/match/1271704/history/
24118,1262203,荷甲,08-10 02:00,格罗宁根,布雷达,4,1,1.62,3.86,5.08,https://www.okooo.com/soccer/match/1262203/history/
24118,1261266,荷乙,08-10 02:00,埃门,多德勒支,1,2,2.10,3.64,2.99,https://www.okooo.com/soccer/match/1261266/history/
24118,1261265,荷乙,08-10 02:00,埃因FC,登博思,2,0,1.92,3.58,3.49,https://www.okooo.com/soccer/match/1261265/history/
24118,1261268,荷乙,08-10 02:00,马斯特里,坎布尔,0,1,2.76,3.71,2.21,https://www.okooo.com/soccer/match/1261268/history/
24118,1261269,荷乙,08-10 02:00,奥斯,SBV精英,3,1,3.43,3.75,1.89,https://www.okooo.com/soccer/match/1261269/history/
24118,1261270,荷乙,08-10 02:00,维迪斯,特尔斯达,2,3,2.00,3.60,3.25,https://www.okooo.com/soccer/match/1261270/history/
24118,1270056,葡超,08-10 03:15,里斯本,里奥阿维,3,1,1.11,8.62,18.16,https://www.okooo.com/soccer/match/1270056/history/
24118,1242968,挪超,08-10 01:00,桑纳菲尤尔,斯特罗姆,2,2,2.18,3.76,2.83,https://www.okooo.com/soccer/match/1242968/history/
