期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24012,1215257,亚洲杯,01-21 22:30,阿曼,泰国,0,0,2.14,3.20,3.33,https://www.okooo.com/soccer/match/1215257/history/
24012,1215258,亚洲杯,01-22 01:30,吉尔吉斯斯坦,沙特,0,2,10.48,5.49,1.25,https://www.okooo.com/soccer/match/1215258/history/
24012,1216679,英超,01-21 22:00,谢菲联,西汉姆,2,2,2.82,3.30,2.51,https://www.okooo.com/soccer/match/1216679/history/
24012,1216670,英超,01-22 00:30,伯恩茅斯,利物浦,0,4,4.32,4.33,1.69,https://www.okooo.com/soccer/match/1216670/history/
24012,1226095,德甲,01-21 22:30,拜仁,不来梅,0,1,1.08,11.37,22.98,https://www.okooo.com/soccer/match/1226095/history/
24012,1226099,德甲,01-22 00:30,门兴,奥格斯堡,1,2,1.83,3.93,3.86,https://www.okooo.com/soccer/match/1226099/history/
24012,1227994,意甲,01-21 19:30,弗洛西诺内,卡利亚里,3,1,2.32,3.36,3.00,https://www.okooo.com/soccer/match/1227994/history/
24012,1227993,意甲,01-21 22:00,恩波利,蒙扎,3,0,2.61,3.20,2.76,https://www.okooo.com/soccer/match/1227993/history/
24012,1227998,意甲,01-22 01:00,萨勒尼塔纳,热那亚,1,2,3.22,2.98,2.42,https://www.okooo.com/soccer/match/1227998/history/
24012,1227996,意甲,01-22 03:45,莱切,尤文,0,3,5.16,3.40,1.75,https://www.okooo.com/soccer/match/1227996/history/
24012,1219207,西甲,01-21 21:00,奥萨苏纳,赫塔费,3,2,2.37,2.87,3.47,https://www.okooo.com/soccer/match/1219207/history/
24012,1219203,西甲,01-21 23:15,皇马,阿尔梅里亚,3,2,1.12,9.22,19.32,https://www.okooo.com/soccer/match/1219203/history/
24012,1219206,西甲,01-22 01:30,贝蒂斯,巴萨,2,4,3.88,3.95,1.83,https://www.okooo.com/soccer/match/1219206/history/
24012,1219201,西甲,01-22 04:00,赫罗纳,塞维利亚,5,1,1.77,3.91,4.20,https://www.okooo.com/soccer/match/1219201/history/
