期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23047,1171706,英超,04-08 22:00,狼队,切尔西,1,0,4.77,3.57,1.78,https://www.okooo.com/soccer/match/1171706/history/
23047,1171705,英超,04-08 22:00,热刺,布莱顿,2,1,2.69,3.42,2.57,https://www.okooo.com/soccer/match/1171705/history/
23047,1171701,英超,04-08 22:00,莱切城,伯恩茅斯,0,1,2.02,3.50,3.73,https://www.okooo.com/soccer/match/1171701/history/
23047,1171699,英超,04-08 22:00,富勒姆,西汉姆,0,1,2.89,3.22,2.53,https://www.okooo.com/soccer/match/1171699/history/
23047,1171698,英超,04-08 22:00,布伦特,纽卡斯尔,1,2,3.90,3.47,1.98,https://www.okooo.com/soccer/match/1171698/history/
23047,1171697,英超,04-08 22:00,维拉,诺丁汉森林,2,0,1.58,4.09,5.67,https://www.okooo.com/soccer/match/1171697/history/
23047,1171704,英超,04-09 00:30,南安普敦,曼城,1,4,11.53,6.03,1.25,https://www.okooo.com/soccer/match/1171704/history/
23047,1172736,德甲,04-08 21:30,弗赖堡,拜仁,0,1,6.23,4.75,1.46,https://www.okooo.com/soccer/match/1172736/history/
23047,1172734,德甲,04-08 21:30,多特蒙德,柏林联合,2,1,1.65,3.97,5.07,https://www.okooo.com/soccer/match/1172734/history/
23047,1176651,意甲,04-08 22:30,亚特兰大,博洛尼亚,0,2,1.64,3.88,5.34,https://www.okooo.com/soccer/match/1176651/history/
23047,1176659,意甲,04-09 00:30,都灵,罗马,0,1,3.31,2.87,2.47,https://www.okooo.com/soccer/match/1176659/history/
23047,1176654,意甲,04-09 02:45,拉齐奥,尤文,2,1,2.81,2.91,2.82,https://www.okooo.com/soccer/match/1176654/history/
23047,1176263,西甲,04-09 03:00,皇马,比利亚雷,2,3,1.48,4.69,6.04,https://www.okooo.com/soccer/match/1176263/history/
23047,1172415,法甲,04-09 03:00,尼斯,巴黎圣曼,0,2,4.07,3.74,1.84,https://www.okooo.com/soccer/match/1172415/history/
