期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
24061,1252084,亚冠,04-17 18:00,蔚山现代,横滨水手,1,0,1.91,3.59,3.52,https://www.okooo.com/soccer/match/1252084/history/
24061,1252259,欧冠,04-18 03:00,拜仁,阿森纳,1,0,2.57,3.45,2.66,https://www.okooo.com/soccer/match/1252259/history/
24061,1252260,欧冠,04-18 03:00,曼城,皇马,1,1,1.59,4.45,5.03,https://www.okooo.com/soccer/match/1252260/history/
24061,1252309,欧联,04-19 03:00,亚特兰大,利物浦,0,1,5.24,4.92,1.51,https://www.okooo.com/soccer/match/1252309/history/
24061,1252305,欧联,04-19 03:00,罗马,AC米兰,2,1,3.25,3.45,2.17,https://www.okooo.com/soccer/match/1252305/history/
24061,1252306,欧联,04-19 03:00,马赛,本菲卡,1,0,2.37,3.50,2.84,https://www.okooo.com/soccer/match/1252306/history/
24061,1252310,欧联,04-19 03:00,西汉姆,勒沃库森,1,1,3.70,3.81,1.90,https://www.okooo.com/soccer/match/1252310/history/
24061,1252318,欧协联,04-19 00:45,里尔,维拉,2,1,2.44,3.49,2.71,https://www.okooo.com/soccer/match/1252318/history/
24061,1252314,欧协联,04-19 00:45,佛罗伦萨,比尔森,0,0,1.42,4.21,7.88,https://www.okooo.com/soccer/match/1252314/history/
24061,1252317,欧协联,04-19 03:00,塞萨洛尼基,布鲁日,0,2,1.83,3.79,3.91,https://www.okooo.com/soccer/match/1252317/history/
24061,1252313,欧协联,04-19 03:00,费内巴切,奥林匹亚科斯,1,0,1.59,4.30,4.89,https://www.okooo.com/soccer/match/1252313/history/
24061,1251246,葡萄牙杯,04-18 03:15,波尔图,吉马良斯,3,1,1.38,4.65,6.83,https://www.okooo.com/soccer/match/1251246/history/
24061,1242849,挪超,04-18 00:00,布兰,汉坎,1,0,1.30,5.41,8.22,https://www.okooo.com/soccer/match/1242849/history/
24061,1242851,挪超,04-18 00:00,莫尔德,奥德,1,2,1.26,5.59,9.30,https://www.okooo.com/soccer/match/1242851/history/
