期数id,比赛id,赛事,时间,主队,客队,全场主队得分,全场客队得分,主胜SP值,主平SP值,主负SP值,分析链接
23112,1198403,欧预赛,09-08 02:45,塞尔维亚,匈牙利,1,2,1.85,3.48,4.33,https://www.okooo.com/soccer/match/1198403/history/
23112,1198363,欧预赛,09-08 02:45,波兰,法罗群岛,2,0,1.12,8.49,21.03,https://www.okooo.com/soccer/match/1198363/history/
23112,1198362,欧预赛,09-08 02:45,捷克,阿尔巴尼亚,1,1,1.54,3.76,6.74,https://www.okooo.com/soccer/match/1198362/history/
23112,1198303,欧预赛,09-08 02:45,荷兰,希腊,3,0,1.44,4.33,7.48,https://www.okooo.com/soccer/match/1198303/history/
23112,1198302,欧预赛,09-08 02:45,法国,爱尔兰,2,0,1.22,6.19,13.66,https://www.okooo.com/soccer/match/1198302/history/
23112,1198428,欧预赛,09-08 02:45,斯洛文尼亚,北爱尔兰,4,2,1.97,3.04,4.47,https://www.okooo.com/soccer/match/1198428/history/
23112,1198427,欧预赛,09-08 02:45,丹麦,圣马力诺,4,0,1.01,25.89,63.88,https://www.okooo.com/soccer/match/1198427/history/
23112,1198282,欧预赛,09-09 00:00,格鲁吉亚,西班牙,1,7,9.13,5.08,1.33,https://www.okooo.com/soccer/match/1198282/history/
23112,1198488,欧预赛,09-09 02:45,卢森堡,冰岛,3,1,2.82,3.10,2.59,https://www.okooo.com/soccer/match/1198488/history/
23112,1198487,欧预赛,09-09 02:45,波黑,列支敦士登,2,1,1.02,18.60,54.23,https://www.okooo.com/soccer/match/1198487/history/
23112,1198486,欧预赛,09-09 02:45,斯洛伐克,葡萄牙,0,1,7.27,4.34,1.44,https://www.okooo.com/soccer/match/1198486/history/
23112,1198342,欧预赛,09-09 02:45,克罗地亚,拉脱维亚,5,0,1.08,10.92,27.73,https://www.okooo.com/soccer/match/1198342/history/
23112,1198283,欧预赛,09-09 02:45,塞浦路斯,苏格兰,0,3,8.44,4.41,1.40,https://www.okooo.com/soccer/match/1198283/history/
23112,1198343,欧预赛,09-09 02:45,土耳其,亚美尼亚,1,1,1.37,4.98,7.73,https://www.okooo.com/soccer/match/1198343/history/
